Source_Station_Name,Train_Count
CST-MUMBAI,513
SEALDAH,372
CHENNAI BEACH,339
HOWRAH JN.,338
KALYAN JN,285
THANE,186
PANVEL,141
TAMBARAM,140
MOOR MARKET,135
VELACHEERY,115
NEW DELHI,107
RAVLI JN,99
VASHI,92
DELHI JN.,88
PUNE JN.,81
CHENNAI CENTRAL,78
BARDDHAMAN JN.,78
CHENGALPATTU,74
BANDEL JN.,73
LOKMANYA TILAK TERMINUS,70
LUCKNOW JN.,68
GORAKHPUR JN.,67
PATNA JN.,67
SECUNDERABAD JN.,66
HAZRAT NIZAMUDDIN JN,66
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),64
AHMEDABAD,64
YESVANTPUR JN.,60
HYDERABAD DECCAN,59
AMRITSAR JN.,57
LINGAMPALLI,54
TIRUPATI,54
BELAPUR C.B.D,51
BANDRA TERMINUS,49
PURI,49
RANAGHAT JN.,49
BANGAON JN.,48
FALAKNUMA,48
VISAKHAPATNAM,48
NAIHATI JN.,47
ANAND VIHAR TERMINAL,47
TIRUVALLUR,45
DADAR,45
ARAKKONAM JN,44
VIJAYWADA JN.,42
KANPUR CENTRAL JN.,42
ASANSOL MAIN,42
AVADI,41
INDORE BG,41
ERNAKULAM. JN,40
VARANASI JN.,40
KARJAT,39
AMBERNATH,39
TITVALA,39
LAKSHMIKANTAPUR,38
KOLKATA,37
JAIPUR JN.,37
MYSORE JN.,36
TRIVANDRUM CENTRAL,35
BADLAPUR,35
GUWAHATI,35
KATIHAR JN.,33
DOMBIVLI,33
KHARAGPUR,32
GUMMIDIPUNDI,31
BUDGE BUDGE,31
BHUBANESWAR,31
CHENNAI EGMORE,30
TIRUCHIRAPPALLI JN.,30
GAYA JN.,30
TATANAGAR JN,30
KACHEGUDA,30
BILASPUR JN.,30
COIMBATORE  JN.,30
JODHPUR JN.,30
KATWA JN.,30
JAMMU TAWI,29
CANNING,29
AMBALA CANTT JN,29
QUILON,29
FIROZPUR CANTT JN.,28
KURLA,28
MUZAFFARPUR JN.,28
TARAKESHWAR,28
NERUL,28
JABALPUR,27
MANGALORE CENTRAL,27
JALANDHAR CITY JN.,27
DIAMOND HARBOUR,27
AJMER JN.,27
RANCHI,26
KRISHNA NAGAR CITY JN.,26
DURG,26
GHAZIABAD JN.,26
HUBLI JN.,26
BIKANER JN.,25
ANAND JN.,25
BARUIPUR JN.,25
REWARI JN.,25
SANTRAGACHI JN.,25
JAMALPUR JN.,24
DELHI-SARAI ROHILLA,24
MORADABAD JN.,24
MUMBAI CENTRAL,24
AZIMGANJ JN.,23
RAMPUR HAT,23
SAHARSA JN.,23
GUNTUR JN.,22
BARASAT JN.,22
JASIDIH JN.,22
HASANABAD,22
CHHAPRA JN.,22
NAGPUR JN.(CR),22
MADURAI JN,21
SHANTIPUR JN.,21
DANKUNI JN.,21
SHRI GANGANAGAR,21
GONDIA JN.,21
DAHANU ROAD,21
PATTABIRAM E DEPOT,21
SURAT,21
NANDED,21
SHRI MATA VAISHNO DEVI KATRA,21
VADODARA JN.,21
PATHANKOT JN.,21
MIDNAPORE,20
BARAUNI JN.,20
GEDE,20
SULLURUPETTA,20
SAMASTIPUR JN.,20
LUDHIANA JN.,20
ASANGAON,20
JAYNAGAR,19
RAIPUR JN.,19
SHALIMAR,19
DEHRA DUN,19
BHAGALPUR,19
KOTA,19
HARIDWAR JN,19
MUMBAI VADALA ROAD,19
RAXAUL JN.,19
TIRUNELVELI JN,19
HATIA,19
BARRACKPORE,18
DHANBAD JN.,18
SONARPUR JN.,18
DARBHANGA JN.,18
SAHARANPUR JN.,18
KASARA,18
SOLAPUR,18
MALDA TOWN,18
ALLAHABAD JN.,18
PILIBHIT JN.,18
KAMAKHYA JN,18
MATHURA JN.,18
LONAVLA,18
KALYANI SIMANTA,17
BAREILLY JN.,17
CHHATRAPATI SHAHU MAHARAJ TERMINUS,17
CHANDIGARH,17
NEW JALPAIGURI JN,17
NAGERCOIL JN.,17
VIRAR,17
PALASDARI,17
BATHINDA JN,16
MADGOAN JN.,16
BHOPAL,16
OKHA,16
BHAVNAGAR TERMINUS,16
LALGOLA,16
AGRA CANTT,16
ADRA,16
KASGANJ JN.,16
PALWAL,16
MHOW,16
UDAIPUR CITY,16
PONDICHERRY,16
SAI NAGAR SHIRDI,15
ROHTAK JN.,15
AMRAVATI,15
KOCHUVELI,15
JIND JN,15
KALKA,15
MAYILADUTURAI JN.,15
SEORAPHULI JN.,15
TIRUTTANI,15
BAREILLY CITY,15
SILIGURI JN.,14
DANAPUR,14
HISAR JN,14
VILLUPURAM JN.,14
RATLAM JN,14
RAJENDRANAGAR TERMINAL,14
NAMKHANA,14
JHANSI JN,14
PORBANDAR,13
MERTA ROAD JN.,13
SILCHAR,13
MAJERHAT,13
SHAKUR BASTI,13
NARASAPUR,13
MUGHAL SARAI JN.,13
DIBRUGARH,13
ERODE JN.,13
ARAMBAG,13
RAMESWARAM,13
BHUSAVAL JN.,13
KURUKSHETRA JN.,13
PANSKURA,13
MIRAJ JN.,12
ITWARI JN.,12
MANDUADIH,12
RAMNAGAR,12
TIRUMALPUR,12
MAILANI JN.,12
DARJEELING,12
PANIPAT JN.,12
FAZILKA JN.,12
NARKATIAGANJ JN.,12
MACHILIPATNAM,12
KIUL JN.,12
VALSAD,12
KANNIYAKUMARI,12
LALKUA JN.,11
GANDHIDHAM JN.,11
DATTAPUKUR,11
VARANASI CITY,11
PRAYAG JN.,11
SAMBALPUR JN.,11
MARIKUPPAM,11
BANGARPET JN.,11
TENALI JN.,11
BANIHAL,11
KANNUR,11
RAJKOT,11
VASCO-DA-GAMA,11
GWALIOR JN,11
FAIZABAD JN.,11
DIGHA FS,11
BHAGAT-KI-KOTHI,10
KATHGODAM,10
NIZAMABAD,10
KARAIKAL,10
KAKINADA PORT,10
JOGBANI,10
ALIGARH JN.,10
BUDGAM,10
SIWAN JN.,10
BAIDYANATHDHAM,10
REWA,10
SHORANUR JN.,10
MECHEDA,10
BINA,10
GUDIVADA JN.,10
FARRUKHABAD JN,9
SURATGARH JN.,9
JHARGRAM,9
SALEM JN.,9
KAZIPET JN.,9
NEW BHUJ,9
PURULIA JN.,9
THANJAVUR JN.,9
PATLIPUTRA,9
MANMAD JN.,9
ROURKELA,9
MERTA CITY,9
BHIWANI JN.,9
KAKINADA TOWN,9
BARAMULLA,9
ALIPUR DUAR JN.,9
SAHIBGANJ,9
SHAHJAHANPUR JN,9
BAHRAICH,9
RANGIYA JN.,9
TINPAHAR JN.,8
TUNDLA JN,8
KHAMBHAT,8
RAJMAHAL,8
RAE BARELI JN.,8
HABRA,8
SULTANPUR JN.,8
CUTTACK JN.,8
BANKURA,8
MAHESANA JN,8
BIDAR,8
SHIMOGA TOWN,8
NAJIBABAD JN.,8
PARTAPGARH JN.,8
GUNTAKAL JN.,8
BHIMAVARAM JN.,8
SENGOTTAI JN,8
DURAUNDHA JN,8
JAISALMER,8
NAUTANWA,8
AGARTALA,8
GHAZIPUR CITY,8
MOKAMA JN.,8
HOSHIARPUR,8
BARKAKANA,8
GONDA JN.,8
ALLEPPEY,8
VIDYAVIHAR,8
HALDIA,7
BANGALORE CANTT.,7
TIRUCHENDUR,7
KHAJAURAHO,7
GURUVAYUR,7
NANGAL DAM,7
REPALLE,7
DAHOD,7
NSC BOSE J GOMO,7
NAGDA JN,7
UDHAMPUR,7
RAJGIR,7
BALHARSHAH,7
SOMNATH,7
PATAN,7
MEERUT CITY JN.,7
CHOPAN,7
TUTICORIN,7
DIVA JN,7
UMDANAGAR,7
CHURCHGATE,7
NILAMBUR ROAD,7
KATPADI JN,7
DAUND JN.,7
BADNERA JN.,7
DEHRI-ON-SON,7
BARMER,7
MEDCHAL,7
THAWE JN.,7
RATANAGARH JN,6
MORVI,6
BIJAPUR JN,6
RAJAHMUNDRY,6
VASAI ROAD,6
NAGARSOL,6
ANDAL JN.,6
CHAKARADHARPUR,6
ETAWAH,6
NEW BONGAIGAON  JN.,6
GULBARGA,6
GEVRA-ROAD,6
BELURMATH,6
MANNARGUDI,6
PARADEEP,6
JHAJHA,6
UJJAIN JN,6
ARA,6
WANKANER,6
JAUNPUR JN.,6
METTUPALAIYAM JN.,6
HABIBGANJ,6
SHAMLI,6
MAHUVA,6
BALLIA,6
BHATNI JN.,6
DEKARGAON,6
FARUKHNAGAR,6
