Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
12018,DDN-NDLS SHA,DEHRA DUN,NEW DELHI,SATURDAY,Weekend
12021,HOWRAH-BARAB,HOWRAH JN.,BARBIL,SATURDAY,Weekend
12042,NJP - HWH SH,NEW JALPAIGURI JN,HOWRAH JN.,SATURDAY,Weekend
12047,BHATINDA SHA,NEW DELHI,FIROZPUR CANTT JN.,SATURDAY,Weekend
12070,G - RIG JANS,GONDIA JN.,RAIGARH,SATURDAY,Weekend
12076,TVC - CLT JA,TRIVANDRUM CENTRAL,CALICUT,SATURDAY,Weekend
12084,CBE-MV JAN S,COIMBATORE  JN.,MAYILADUTURAI JN.,SATURDAY,Weekend
12085,GHY-DBRG SHA,GUWAHATI,DIBRUGARH,SATURDAY,Weekend
12101,JNANESWARI D,LOKMANYA TILAK TERMINUS,HOWRAH JN.,SATURDAY,Weekend
12104,LJN-PUNE EXP,LUCKNOW JN.,PUNE JN.,SATURDAY,Weekend
12109,PANCHAVATI E,CST-MUMBAI,MANMAD JN.,SATURDAY,Weekend
12115,CSTM-SUR SID,CST-MUMBAI,SOLAPUR,SATURDAY,Weekend
12116,SUR-CSMT SID,SOLAPUR,CST-MUMBAI,SATURDAY,Weekend
12126,PRAGATI EXPR,PUNE JN.,CST-MUMBAI,SATURDAY,Weekend
12128,INTERCITY EX,PUNE JN.,CST-MUMBAI,SATURDAY,Weekend
12133,CSMT-MAJN EX,CST-MUMBAI,MANGALORE JN,SATURDAY,Weekend
12135,PUNE-NGP EXP,PUNE JN.,NAGPUR JN.(CR),SATURDAY,Weekend
12141,LTT-PPTA EXP,LOKMANYA TILAK TERMINUS,PATLIPUTRA,SATURDAY,Weekend
12145,LTT-PURI WEE,LOKMANYA TILAK TERMINUS,PURI,SATURDAY,Weekend
12149,PUNE-DNR EXP,PUNE JN.,DANAPUR,SATURDAY,Weekend
12153,LTT-HBJ EXPR,LOKMANYA TILAK TERMINUS,HABIBGANJ,SATURDAY,Weekend
12158,HUTATMA EXPR,SOLAPUR,PUNE JN.,SATURDAY,Weekend
12159,AMI- JBP SUF,AMRAVATI,JABALPUR,SATURDAY,Weekend
12167,LTT(T)-BSB S,LOKMANYA TILAK TERMINUS,VARANASI JN.,SATURDAY,Weekend
12169,SUR INTERCIT,PUNE JN.,SOLAPUR,SATURDAY,Weekend
12173,LTT-CNB EXPR,LOKMANYA TILAK TERMINUS,PARTAPGARH JN.,SATURDAY,Weekend
12185,HBJ-REWA REW,HABIBGANJ,REWA,SATURDAY,Weekend
12189,JBP-NZM MAHA,JABALPUR,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12193,YPR-JBP WEEK,YESVANTPUR JN.,JABALPUR,SATURDAY,Weekend
12195,AF-AII INTER,AGRA  FORT,AJMER JN.,SATURDAY,Weekend
12196,AII-AF INTER,AJMER JN.,AGRA  FORT,SATURDAY,Weekend
12206,NANDA DEVI E,DEHRA DUN,NEW DELHI,SATURDAY,Weekend
12208,JAT-KGM GARI,JAMMU TAWI,KATHGODAM,SATURDAY,Weekend
12236,NDLS-GHY RAJ,NEW DELHI,DIBRUGARH,SATURDAY,Weekend
12237,BSB-JAT EXP.,VARANASI JN.,JAMMU TAWI,SATURDAY,Weekend
12240,JP BCT DURON,JAIPUR JN.,MUMBAI CENTRAL,SATURDAY,Weekend
12242,ASR-CDG SUPE,AMRITSAR JN.,CHANDIGARH,SATURDAY,Weekend
12246,YPR - HWH WE,YESVANTPUR JN.,HOWRAH JN.,SATURDAY,Weekend
12250,ANVT-HWH YUV,ANAND VIHAR TERMINAL,HOWRAH JN.,SATURDAY,Weekend
12252,WAINGANGA EX,KORBA,YESVANTPUR JN.,SATURDAY,Weekend
12265,DEE-JAT DURO,DELHI-SARAI ROHILLA,JAMMU TAWI,SATURDAY,Weekend
12266,JAT-DEE,JAMMU TAWI,DELHI-SARAI ROHILLA,SATURDAY,Weekend
12279,TAJ EXPRESS,JHANSI JN,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12294,ALD-LTT DURA,ALLAHABAD JN.,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
12308,JU-HWH SUPFA,JODHPUR JN.,HOWRAH JN.,SATURDAY,Weekend
12310,PATNA RAJDHA,NEW DELHI,RAJENDRANAGAR TERMINAL,SATURDAY,Weekend
12328,UPASANA EXPR,DEHRA DUN,HOWRAH JN.,SATURDAY,Weekend
12353,HWH LKU EXP,HOWRAH JN.,LALKUA JN.,SATURDAY,Weekend
12358,ASR KOAA SUP,AMRITSAR JN.,KOLKATA,SATURDAY,Weekend
12368,VIKRAMSHILA,ANAND VIHAR TERMINAL,BHAGALPUR,SATURDAY,Weekend
12383,SDAH-ASN INT,SEALDAH,ASANSOL MAIN,SATURDAY,Weekend
12391,SHRAMJEEVI E,RAJGIR,NEW DELHI,SATURDAY,Weekend
12392,SHRAMJEEVI E,NEW DELHI,RAJGIR,SATURDAY,Weekend
12396,ZIYARAT EXPR,AJMER JN.,RAJENDRANAGAR TERMINAL,SATURDAY,Weekend
12398,MAHABODHI EX,NEW DELHI,GAYA JN.,SATURDAY,Weekend
12401,MAGADH EXPRE,ISLAMPUR,NEW DELHI,SATURDAY,Weekend
12408,KARMABHOOMI,AMRITSAR JN.,NEW JALPAIGURI JN,SATURDAY,Weekend
12421,NED-ASR SUPE,NANDED,AMRITSAR JN.,SATURDAY,Weekend
12423,DBRT-NDLS RA,DIBRUGARH TOWN,NEW DELHI,SATURDAY,Weekend
12437,RAJDHANI EXP,SECUNDERABAD JN.,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12452,SHRAM SHKTI,NEW DELHI,KANPUR CENTRAL JN.,SATURDAY,Weekend
12453,RNC-NDLS,RANCHI,NEW DELHI,SATURDAY,Weekend
12457,DEE BKN  S F,DELHI-SARAI ROHILLA,BIKANER JN.,SATURDAY,Weekend
12475,HAPA JAT EXP,HAPA,SHRI MATA VAISHNO DEVI KATRA,SATURDAY,Weekend
12478,SVDK- JAMNAG,SHRI MATA VAISHNO DEVI KATRA,JAMNAGAR,SATURDAY,Weekend
12480,SURYANAGARI,BANDRA TERMINUS,JODHPUR JN.,SATURDAY,Weekend
12489,BKN DDR SF E,BIKANER JN.,DADAR,SATURDAY,Weekend
12517,GARIB RATH E,KOLKATA,GUWAHATI,SATURDAY,Weekend
12530,LJN PPTA S F,LUCKNOW JN.,PATLIPUTRA,SATURDAY,Weekend
12532,LJN- GKP INT,LUCKNOW JN.,GORAKHPUR JN.,SATURDAY,Weekend
12539,YPR-LKO EXPR,YESVANTPUR JN.,LUCKNOW JN.,SATURDAY,Weekend
12542,LTT-GKP-SUPE,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,SATURDAY,Weekend
12554,VAISHALI EXP,NEW DELHI,BARAUNI JN.,SATURDAY,Weekend
12557,SAPT KRANTI,MUZAFFARPUR JN.,ANAND VIHAR TERMINAL,SATURDAY,Weekend
12562,SWATANTRTA S,NEW DELHI,JAYNAGAR,SATURDAY,Weekend
12587,AMAR NATH EX,GORAKHPUR JN.,JAMMU TAWI,SATURDAY,Weekend
12591,GKP-SBC EXP,GORAKHPUR JN.,YESVANTPUR JN.,SATURDAY,Weekend
12597,GKP-CSMT-WEE,GORAKHPUR JN.,CST-MUMBAI,SATURDAY,Weekend
12619,MATSYAGANDHA,LOKMANYA TILAK TERMINUS,MANGALORE CENTRAL,SATURDAY,Weekend
12621,MAS-NDLS TAM,CHENNAI CENTRAL,NEW DELHI,SATURDAY,Weekend
12623,TRIVANDRUM M,CHENNAI CENTRAL,TRIVANDRUM CENTRAL,SATURDAY,Weekend
12628,NDLS-SBC KAR,NEW DELHI,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SATURDAY,Weekend
12636,MDU-MS VAIGA,MADURAI JN,CHENNAI EGMORE,SATURDAY,Weekend
12678,ERS-SBC INTE,ERNAKULAM. JN,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SATURDAY,Weekend
12694,TN-MS PEARL,TUTICORIN,CHENNAI EGMORE,SATURDAY,Weekend
12701,CSMT-HYB HUS,CST-MUMBAI,HYDERABAD DECCAN,SATURDAY,Weekend
12703,HWH-SC FALAK,HOWRAH JN.,SECUNDERABAD JN.,SATURDAY,Weekend
12704,SC-HWH FALAK,SECUNDERABAD JN.,HOWRAH JN.,SATURDAY,Weekend
12713,BZA-SC SATAV,VIJAYWADA JN.,SECUNDERABAD JN.,SATURDAY,Weekend
12716,ASR-NED SACH,AMRITSAR JN.,NANDED,SATURDAY,Weekend
12720,HYB-AII EXP,HYDERABAD DECCAN,AJMER JN.,SATURDAY,Weekend
12728,HYB-VSKP GOD,HYDERABAD DECCAN,VISAKHAPATNAM,SATURDAY,Weekend
12737,COA-SC GOWTA,KAKINADA PORT,SECUNDERABAD JN.,SATURDAY,Weekend
12747,GNT-VKB PALA,GUNTUR JN.,VIKRABAD JN.,SATURDAY,Weekend
12758,SKZR-SC  EXP,SIRPURKAGHAZ NAGAR,SECUNDERABAD JN.,SATURDAY,Weekend
12761,TPTY-KRMR  E,TIRUPATI,KARIM NAGAR,SATURDAY,Weekend
12768,SRC-NED  EXP,SANTRAGACHI JN.,NANDED,SATURDAY,Weekend
12772,NGP-SC EXP,NAGPUR JN.(CR),SECUNDERABAD JN.,SATURDAY,Weekend
12780,GOA EXPRESS,HAZRAT NIZAMUDDIN JN,VASCO-DA-GAMA,SATURDAY,Weekend
12785,KCG-SBC EXP,KACHEGUDA,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SATURDAY,Weekend
12812,HTE LTT EXPR,HATIA,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
12829,CEN-BBS WEEK,CHENNAI CENTRAL,BHUBANESWAR,SATURDAY,Weekend
12836,YPR-HTE BI-W,YESVANTPUR JN.,HATIA,SATURDAY,Weekend
12837,HOWRAH-PURI,HOWRAH JN.,PURI,SATURDAY,Weekend
12840,MAS-HWH MAIL,CHENNAI CENTRAL,HOWRAH JN.,SATURDAY,Weekend
12845,BBS-YPR S/FA,BHUBANESWAR,BANGALORE CANTT.,SATURDAY,Weekend
12857,TAMRALIPTA,HOWRAH JN.,DIGHA FS,SATURDAY,Weekend
12870,HWH-CSTM WEE,HOWRAH JN.,CST-MUMBAI,SATURDAY,Weekend
12872,TIG-HWH ISPA,TITLA GARH JN.,HOWRAH JN.,SATURDAY,Weekend
12874,ANVT HTE  EX,ANAND VIHAR TERMINAL,HATIA,SATURDAY,Weekend
12894,BLGR-BBS S/F,BALANGIR,BHUBANESWAR,SATURDAY,Weekend
12895,HWH-PURI WEE,HOWRAH JN.,PURI,SATURDAY,Weekend
12898,BBS-PDY S/F,BHUBANESWAR,PONDICHERRY,SATURDAY,Weekend
12905,PBR HOWRAH E,PORBANDAR,HOWRAH JN.,SATURDAY,Weekend
12927,VADODARA EXP,MUMBAI CENTRAL,VADODARA JN.,SATURDAY,Weekend
12929,BL-DHD INTER,VALSAD,DAHOD,SATURDAY,Weekend
12930,DHD - BL  IN,DAHOD,VALSAD,SATURDAY,Weekend
12934,KARNAVATI EX,AHMEDABAD,MUMBAI CENTRAL,SATURDAY,Weekend
12937,GARBHA EXPRE,GANDHIDHAM JN.,HOWRAH JN.,SATURDAY,Weekend
12938,GARBHA EXPRE,HOWRAH JN.,GANDHIDHAM JN.,SATURDAY,Weekend
12948,AZIMABAD EXP,PATNA JN.,AHMEDABAD,SATURDAY,Weekend
12960,BHUJ DADAR E,NEW BHUJ,DADAR,SATURDAY,Weekend
12977,MARU SAGAR E,ERNAKULAM. JN,AJMER JN.,SATURDAY,Weekend
12984,CDG AII G RA,CHANDIGARH,AJMER JN.,SATURDAY,Weekend
13007,U ABHATOOFAN,HOWRAH JN.,SHRI GANGANAGAR,SATURDAY,Weekend
13009,DOON EXPRESS,HOWRAH JN.,DEHRA DUN,SATURDAY,Weekend
13012,MLDT  HWH IN,MALDA TOWN,HOWRAH JN.,SATURDAY,Weekend
13013,BWN-RPH TRI-,BARDDHAMAN JN.,RAMPUR HAT,SATURDAY,Weekend
13020,BAGH EXPRESS,KATHGODAM,HOWRAH JN.,SATURDAY,Weekend
13063,HWH BLGT EXP,HOWRAH JN.,BALURGHAT,SATURDAY,Weekend
13104,BHAGIRATHI E,LALGOLA,SEALDAH,SATURDAY,Weekend
13150,KANCHAN KANY,ALIPUR DUAR JN.,SEALDAH,SATURDAY,Weekend
13153,GOUR EXPRESS,SEALDAH,MALDA TOWN,SATURDAY,Weekend
13169,HATEBAZARE E,SEALDAH,SAHARSA JN.,SATURDAY,Weekend
13205,SHC-DNR JANH,SAHARSA JN.,DANAPUR,SATURDAY,Weekend
13245,NJP-RJPB CAP,NEW JALPAIGURI JN,RAJENDRANAGAR TERMINAL,SATURDAY,Weekend
13248,RJPB-KYQ CAP,RAJENDRANAGAR TERMINAL,KAMAKHYA JN,SATURDAY,Weekend
13301,SUVARNA REKH,DHANBAD JN.,TATANAGAR JN,SATURDAY,Weekend
13305,DHN-GAYA INT,DHANBAD JN.,GAYA JN.,SATURDAY,Weekend
13319,BDME-RNC EXP,DEOGHAR,RANCHI,SATURDAY,Weekend
13424,AII- BGPWKLY,AJMER JN.,BHAGALPUR,SATURDAY,Weekend
13430,ANVT-MLDT WK,ANAND VIHAR TERMINAL,MALDA TOWN,SATURDAY,Weekend
13466,MLDT INTERCI,MALDA TOWN,HOWRAH JN.,SATURDAY,Weekend
13502,ASN -  HLZ E,ASANSOL MAIN,HALDIA,SATURDAY,Weekend
13511,TATA-ASN TRI,TATANAGAR JN,ASANSOL MAIN,SATURDAY,Weekend
