Source_Station_Name,Destination_Station_Name,Train_Count
HOWRAH JN.,PURI,8
DELHI JN.,GHAZIABAD JN.,8
TINPAHAR JN.,RAJMAHAL,8
RAJMAHAL,TINPAHAR JN.,8
MORADABAD JN.,RAMNAGAR,7
SEALDAH,DATTAPUKUR,7
GORAKHPUR JN.,LOKMANYA TILAK TERMINUS,7
BANDEL JN.,KATWA JN.,7
DELHI JN.,REWARI JN.,7
RAMNAGAR,MORADABAD JN.,7
INDORE BG,MHOW,7
HABRA,SEALDAH,7
LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,7
AMRAVATI,BADNERA JN.,7
REWARI JN.,DELHI JN.,7
SAHARANPUR JN.,DELHI JN.,7
MECHEDA,HOWRAH JN.,7
VELACHEERY,TIRUVALLUR,7
HOWRAH JN.,KHARAGPUR,7
BADNERA JN.,AMRAVATI,7
CHENNAI BEACH,AVADI,7
PURI,HOWRAH JN.,7
THANE,DADAR,7
KATIHAR JN.,JOGBANI,7
PALASDARI,KALYAN JN,7
VELACHEERY,AVADI,7
MHOW,INDORE BG,7
DELHI JN.,SAHARANPUR JN.,7
GORAKHPUR JN.,NAUTANWA,6
JALANDHAR CITY JN.,HOSHIARPUR,6
FALAKNUMA,UMDANAGAR,6
BUDGAM,BANIHAL,6
JALANDHAR CITY JN.,FIROZPUR CANTT JN.,6
BARDDHAMAN JN.,BALGONA,6
SEALDAH,LALGOLA,6
MYSORE JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),6
CHURCHGATE,DAHANU ROAD,6
VADODARA JN.,AHMEDABAD,6
PATHANKOT JN.,AMRITSAR JN.,6
BAHRAICH,MAILANI JN.,6
HOWRAH JN.,BELURMATH,6
FIROZPUR CANTT JN.,LUDHIANA JN.,6
HOSHIARPUR,JALANDHAR CITY JN.,6
FIROZPUR CANTT JN.,JALANDHAR CITY JN.,6
BELURMATH,HOWRAH JN.,6
NAUTANWA,GORAKHPUR JN.,6
BANIHAL,BUDGAM,6
BARASAT JN.,SEALDAH,6
AMRITSAR JN.,PATHANKOT JN.,6
NEW DELHI,PALWAL,6
PUNE JN.,CST-MUMBAI,6
CHENNAI CENTRAL,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),6
SAHARSA JN.,SAMASTIPUR JN.,6
MAILANI JN.,BAHRAICH,6
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MYSORE JN.,6
CST-MUMBAI,PUNE JN.,6
LALGOLA,SEALDAH,6
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),CHENNAI CENTRAL,6
LUDHIANA JN.,FIROZPUR CANTT JN.,6
SAMASTIPUR JN.,SAHARSA JN.,6
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MARIKUPPAM,5
HASANABAD,BARASAT JN.,5
GONDIA JN.,KATANGI,5
MAILANI JN.,PILIBHIT JN.,5
HOWRAH JN.,CST-MUMBAI,5
SALUR,BOBBILI JN.,5
DURAUNDHA JN,MAHARAJGANJ,5
NAJIBABAD JN.,KOTDWARA,5
SHIMLA,KALKA,5
DURG,RAIPUR JN.,5
HOWRAH JN.,NEW DELHI,5
TATANAGAR JN,KHARAGPUR,5
CHENNAI CENTRAL,COIMBATORE  JN.,5
NARKATIAGANJ JN.,GORAKHPUR JN.,5
NARKATIAGANJ JN.,MUZAFFARPUR JN.,5
HOWRAH JN.,SHRIRAMPUR,5
PILIBHIT JN.,SHAHJAHANPUR JN,5
PILIBHIT JN.,MAILANI JN.,5
PILIBHIT JN.,BAREILLY CITY,5
COIMBATORE  JN.,CHENNAI CENTRAL,5
GIRDIH,MADHUPUR JN.,5
HAZRAT NIZAMUDDIN JN,TRIVANDRUM CENTRAL,5
RAIPUR JN.,DURG,5
MATHURA JN.,VRINDAVAN,5
MAHARAJGANJ,DURAUNDHA JN,5
SHORANUR JN.,NILAMBUR ROAD,5
UMDANAGAR,FALAKNUMA,5
SONARPUR JN.,CANNING,5
LUCKNOW JN.,VARANASI JN.,5
ARAMBAG,TARAKESHWAR,5
KALYAN JN,KURLA,5
DELHI JN.,SHAMLI,5
MUZAFFARPUR JN.,NARKATIAGANJ JN.,5
KOTDWARA,NAJIBABAD JN.,5
LALKUA JN.,BAREILLY CITY,5
AIT JN,KONCH,5
FAZILKA JN.,FIROZPUR CANTT JN.,5
PALWAL,SHAKUR BASTI,5
DAHANU ROAD,CHURCHGATE,5
AHMEDABAD,ANAND JN.,5
WANKANER,MORVI,5
VRINDAVAN,MATHURA JN.,5
KONCH,AIT JN,5
SHAHJAHANPUR JN,PILIBHIT JN.,5
JAMALPUR JN.,KIUL JN.,5
