Source_Station_Name,Destination_Station_Name,Train_Count
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),HUBLI JN.,3
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),ERNAKULAM. JN,3
AZIMGANJ JN.,HOWRAH JN.,3
DADAR,DOMBIVLI,3
NAGPUR JN.(CR),CST-MUMBAI,3
UJJAIN JN,NAGDA JN,3
ULUBARIA,HOWRAH JN.,3
BAHRAICH,NEPALGANJ ROAD,3
AMBLIYASAN JN.,VIJAPUR,3
VASCO-DA-GAMA,KULEM,3
ERODE JN.,TIRUNELVELI JN,3
KHAJAURAHO,MAHOBA,3
CHENNAI EGMORE,TIRUNELVELI JN,3
NEW DELHI,PURI,3
NEW DELHI,MUMBAI CENTRAL,3
ERODE JN.,TIRUCHIRAPPALLI JN.,3
RAMPUR HAT,SEALDAH,3
TIRUTTANI,ARAKKONAM JN,3
LALKUA JN.,KASHIPUR JN,3
VARANASI JN.,JODHPUR JN.,3
VIJAPUR,AMBLIYASAN JN.,3
VISAKHAPATNAM,TIRUPATI,3
SENGOTTAI JN,TIRUNELVELI JN,3
JASIDIH JN.,DUMKA,3
BARAMATI,PUNE JN.,3
SENGOTTAI JN,MADURAI JN,3
MANGALORE CENTRAL,TRIVANDRUM CENTRAL,3
KENDRI,DHAMTARI,3
NEW DELHI,LUCKNOW JN.,3
KHARAGPUR,JHARGRAM,3
SHAKUR BASTI,HAZRAT NIZAMUDDIN JN,3
SHAKUR BASTI,GHAZIABAD JN.,3
NIZAMABAD,KACHEGUDA,3
NIDADAVOLU JN.,BHIMAVARAM JN.,3
MANGALORE CENTRAL,MADGOAN JN.,3
VIZIANAGARAM JN.,VISAKHAPATNAM,3
JALANDHAR CITY JN.,JAIJON DOABA,3
LOHARDAGA  BS,RANCHI,3
TIRUPATI,CHENNAI CENTRAL,3
VERKA JN.,DERABABA NANAK,3
REWARI JN.,PHULERA JN.,3
CHENNAI EGMORE,MADURAI JN,3
JAMALPUR JN.,DHANAURI,3
BARDDHAMAN JN.,BANDEL JN.,3
SANTRAGACHI JN.,SHALIMAR,3
KHURJA JN,MEERUT CITY JN.,3
JAMALPUR JN.,SULTANGANJ,3
SEALDAH,BENOY BADAL DINESH BAG,3
REWARI JN.,HISAR JN,3
RAMPUR HAT,HOWRAH JN.,3
JALANDHAR CITY JN.,PATHANKOT JN.,3
BANGAON JN.,MAJERHAT,3
AMBALA CANTT JN,SAHARANPUR JN.,3
BANGAON JN.,BARASAT JN.,3
NEPALGANJ ROAD,BAHRAICH,3
CHHATRAPATI SHAHU MAHARAJ TERMINUS,CST-MUMBAI,3
RANAGHAT JN.,LALGOLA,3
SECUNDERABAD JN.,VIJAYWADA JN.,3
KATPADI JN,TIRUPATI,3
KURUKSHETRA JN.,DELHI JN.,3
JHALAWAR CITY,KOTA,3
JHARGRAM,KHARAGPUR,3
ANAND VIHAR TERMINAL,GORAKHPUR JN.,3
RISHIKESH,HARIDWAR JN,3
KAYANKULAM JN,ERNAKULAM. JN,3
DHAMTARI,KENDRI,3
CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,3
VIJAYWADA JN.,GUDIVADA JN.,3
CHHAPRA JN.,VARANASI CITY,3
LALGOLA,KOLKATA,3
LALGOLA,KRISHNA NAGAR CITY JN.,3
ERODE JN.,JOLARPETTAI JN,3
DHANBAD JN.,ASANSOL MAIN,3
BANGARPET JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),3
JAYNAGAR,SAMASTIPUR JN.,3
MUGHAL SARAI JN.,PATNA JN.,3
NEW DELHI,DEHRA DUN,3
ROHA,DIVA JN,2
RAGHURAJ SINGH,RAE BARELI JN.,2
GONDA JN.,SITAPUR CANTT,2
GUDIVADA JN.,VIJAYWADA JN.,2
REPALLE,GUNTUR JN.,2
DHASA JN (MG),JETALSAR JN (MG),2
QUILON,CHENNAI EGMORE,2
DARJEELING,KURSEONG,2
ROHTAK JN.,BHIWANI JN.,2
DELHI-SARAI ROHILLA,JODHPUR JN.,2
DIBRUGARH TOWN,NEW DELHI,2
QUILON,EDAMANN,2
DHARMANAGAR,AGARTALA,2
RAXAUL JN.,SAMASTIPUR JN.,2
DIBRUGARH TOWN,LEDO,2
PURNA  JN.,AKOLA JN.,2
DHANBAD JN.,SINDRI TOWN,2
GORAKHPUR JN.,ANAND VIHAR TERMINAL,2
QUILON,VISAKHAPATNAM,2
QUILON,TRIVANDRUM CENTRAL,2
DHRANGADHRA,SURENDRANAGAR,2
QUILON,PUNALUR,2
DHURI JN.,BATHINDA JN,2
GORAKHPUR JN.,BANDRA TERMINUS,2
GUA,TATANAGAR JN,2
GORAKHPUR JN.,VARANASI CITY,2
DHARWAD,HUBLI JN.,2
ROHTAK JN.,NEW DELHI,2
RAE BARELI JN.,KANPUR CENTRAL JN.,2
DHANBAD JN.,HOWRAH JN.,2
DELHI-SARAI ROHILLA,SIKAR JN.,2
DHASA JN (MG),VERAVAL MG,2
GORAKHPUR JN.,PUNE JN.,2
PURULIA JN.,JHARGRAM,2
GORAKHPUR JN.,CHHAPRA JN.,2
REWARI JN.,SIKAR JN.,2
RAE BARELI JN.,RAGHURAJ SINGH,2
DHANAURI,JAMALPUR JN.,2
REWARI JN.,ROHTAK JN.,2
RAE BARELI JN.,UNCHAHAR JN.,2
DHANBAD JN.,PATNA JN.,2
REPALLE,SECUNDERABAD JN.,2
REWA,JABALPUR,2
SAHARSA JN.,SEALDAH,2
DELHI JN.,BHIWANI JN.,2
SAHIBGANJ,JAMALPUR JN.,2
SAHIBGANJ,RAMPUR HAT,2
ERNAKULAM. JN,PUNE JN.,2
RAJKOT,SOMNATH,2
ERNAKULAM. JN,PATNA JN.,2
RAJKOT,PORBANDAR,2
GAJRAULA JN.,NAJIBABAD JN.,2
GANDHIDHAM JN.,BANDRA TERMINUS,2
RANGIYA JN.,RANGAPARA NORTH,2
RAJIM,ABHANPUR JN.,2
RAJGIR,DANAPUR,2
DELHI JN.,AMBALA CANTT JN,2
RANAGHAT JN.,SHANTIPUR JN.,2
GANDHIDHAM JN.,PURI,2
SAI NAGAR SHIRDI,DADAR,2
DELHI JN.,ALIGARH JN.,2
RAJGIR,BAKHTIYARPUR JN.,2
DEKARGAON,RANGIYA JN.,2
ERNAKULAM. JN,KOTTAYAM,2
DELHI JN.,PATHANKOT JN.,2
RANAGHAT JN.,NAIHATI JN.,2
DELHI JN.,MALDA TOWN,2
FALAKNUMA,SECUNDERABAD JN.,2
FALAKNUMA,MEDCHAL,2
FARRUKHABAD JN,KANPUR ANWARGANJ,2
FARRUKHABAD JN,KANPUR CENTRAL JN.,2
FAIZABAD JN.,PRAYAG JN.,2
FARUKHNAGAR,DELHI-SARAI ROHILLA,2
DELHI JN.,MORADABAD JN.,2
FAIZABAD JN.,LUCKNOW JN.,2
FAIZABAD JN.,LOKMANYA TILAK TERMINUS,2
DELHI JN.,KHURJA JN,2
DELHI JN.,PALWAL,2
RAMPUR HAT,BARHARWA JN.,2
RAMPUR HAT,SAHIBGANJ,2
ETAWAH,AGRA CANTT,2
ETAH,TUNDLA JN,2
RAMESWARAM,CHENNAI EGMORE,2
RAMTEK,ITWARI JN.,2
FAZILKA JN.,KOT KAPURA JN,2
FIROZPUR CANTT JN.,BATHINDA JN,2
SAHARANPUR JN.,NANGAL DAM,2
SAHARSA JN.,ANAND VIHAR TERMINAL,2
SAHARSA JN.,BARAUNI JN.,2
FARUKHNAGAR,GARHI HARSARU JN.,2
DONGAR GARH,GONDIA JN.,2
RATLAM JN,DAHOD,2
DELHI JN.,SHRI MATA VAISHNO DEVI KATRA,2
DAUND JN.,BARAMATI,2
DIVA JN,ROHA,2
GEVRA-ROAD,RAIPUR JN.,2
GHAT KOPAR,CST-MUMBAI,2
SADULPUR JN,SHRI GANGANAGAR,2
RATLAM JN,NAGDA JN,2
SABALGARH,GWALIOR (NG),2
ERNAKULAM. JN,GURUVAYUR,2
DIMAPUR,GUWAHATI,2
GHAZIABAD JN.,PALWAL,2
RUPSA JN.,BHANJPUR,2
GHAZIPUR CITY,ANAND VIHAR TERMINAL,2
RAIPUR JN.,BILASPUR JN.,2
RAXAUL JN.,HOWRAH JN.,2
GHAZIPUR CITY,KOLKATA,2
RAIGARH,BILASPUR JN.,2
DIGHA FS,PANSKURA,2
DELHI-SARAI ROHILLA,FARUKHNAGAR,2
RAXAUL JN.,LOKMANYA TILAK TERMINUS,2
RAIPUR JN.,GEVRA-ROAD,2
ERNAKULAM. JN,ALLEPPEY,2
EDAMANN,QUILON,2
SAHARANPUR JN.,AMBALA CANTT JN,2
DEHRI-ON-SON,BARWADIH JN,2
RAJENDRANAGAR TERMINAL,NEW DELHI,2
GARHI HARSARU JN.,FARUKHNAGAR,2
RAJENDRANAGAR TERMINAL,INDORE BG,2
SALEM JN.,KARUR JN.,2
DURG,JAMMU TAWI,2
DURG,HAZRAT NIZAMUDDIN JN,2
GAYA JN.,JAMALPUR JN.,2
DONGAR GARH,RAIPUR JN.,2
DURG,GONDIA JN.,2
RAJAHMUNDRY,VIJAYWADA JN.,2
SALEM JN.,VRIDHA CHALAM JN.,2
SALEMPUR JN.,BARHAJ BAZAR,2
RANGAPARA NORTH,RANGIYA JN.,2
RANGIYA JN.,DEKARGAON,2
DURAUNDHA JN,SIWAN JN.,2
RANGIYA JN.,MURKEONG SELEK,2
RAJAHMUNDRY,BHIMAVARAM JN.,2
RANUJ,AHMEDABAD JN.,2
SAMASTIPUR JN.,BARAUNI JN.,2
DEHRA DUN,HOWRAH JN.,2
KATIHAR JN.,BARAUNI JN.,2
KATHGODAM,MORADABAD JN.,2
MUMBAI CENTRAL,PORBANDAR,2
MUMBAI VADALA ROAD,VASHI,2
KATHANA,VADODARA JN.,2
KASGANJ JN.,MATHURA JN.,2
MURKEONG SELEK,RANGIYA JN.,2
MUZAFFARPUR JN.,ANAND VIHAR TERMINAL,2
KARUR JN.,TIRUCHIRAPPALLI JN.,2
KARUR JN.,SALEM JN.,2
SAMASTIPUR JN.,RAXAUL JN.,2
MUZAFFARPUR JN.,PATLIPUTRA,2
KARAIKKUDI,TIRUCHIRAPPALLI JN.,2
ABHANPUR JN.,RAJIM,2
KARAIKAL,TIRUCHIRAPPALLI JN.,2
KARAIKAL,NAGORE,2
MYSORE JN.,ARSIKERE JN.,2
KANPUR CENTRAL JN.,RAE BARELI JN.,2
KANPUR CENTRAL JN.,PRAYAG JN.,2
KANPUR CENTRAL JN.,PHAPHUND,2
KANPUR CENTRAL JN.,NEW DELHI,2
KARJAT,CST-MUMBAI,2
MOKAMA JN.,BARAUNI JN.,2
KHEM KARAN,BHAGTANWALA,2
KHEM KARAN,AMRITSAR JN.,2
MOKAMA JN.,PATNA JN.,2
KHARAGPUR,HIJLI,2
KHARAGPUR,BANKURA,2
KHARAGPUR,BALASORE,2
MOOR MARKET,KADAMBATTUR,2
KHANDWA JN. (CR),BIR,2
KHAGARIA JN.,JAMALPUR JN.,2
MUMBAI CENTRAL,JAIPUR JN.,2
MORADABAD JN.,DELHI JN.,2
KAZIPET JN.,LOKMANYA TILAK TERMINUS,2
MORADABAD JN.,KATHGODAM,2
KAWR,PERNEM,2
KAWAR,KODERMA,2
MUGHAL SARAI JN.,ALLAHABAD JN.,2
KATPADI JN,VILLUPURAM JN.,2
KATNI,CHOPAN,2
KATIHAR JN.,MALDA COURT,2
KATIHAR JN.,HOWRAH JN.,2
MUMBAI CENTRAL,INDORE BG,2
MORADABAD JN.,BAREILLY JN.,2
NAIHATI JN.,BUDGE BUDGE,2
KALKA,AMBALA CANTT JN,2
KALIANPUR,LUCKNOW JN.,2
KAKINADA TOWN,TIRUPATI,2
NAIHATI JN.,MAJERHAT,2
NAIHATI JN.,RANAGHAT JN.,2
KAKINADA PORT,VIJAYWADA JN.,2
NAINPUR JN.,MADANMAHAL,2
NAJIBABAD JN.,GAJRAULA JN.,2
KADAMBATTUR,MOOR MARKET,2
MYSORE JN.,HUBLI JN.,2
NAMKHANA,SEALDAH,2
NANDED,AMRITSAR JN.,2
KACHEGUDA,MIRYALAGUDA,2
KACHEGUDA,MAHBUBNAGAR,2
KACHEGUDA,GUNTUR JN.,2
KABAKA PUTTUR,MANGALORE CENTRAL,2
NANDYAL,CUDDAPAH,2
JOGINDER NAGAR,PATHANKOT JN.,2
NARASAPUR,GUDIVADA JN.,2
NARASAPUR,GUNTUR JN.,2
KACHEGUDA,YESVANTPUR JN.,2
KANPUR CENTRAL JN.,FATEHPUR,2
KANPUR CENTRAL JN.,FARRUKHABAD JN,2
MYSORE JN.,YESVANTPUR JN.,2
KANPUR CENTRAL JN.,ALLAHABAD JN.,2
NADIAD JN.,MODASA,2
NAGAPPATTINAM,VELANKANNI,2
NAGARSOL,NARASAPUR,2
KANNUR,ALLEPPEY,2
NAGDA JN,RATLAM JN,2
NAGERCOIL JN.,COIMBATORE  JN.,2
KALKA,NEW DELHI,2
NAGERCOIL JN.,MANGALORE CENTRAL,2
KANCHIPURAM,CHENNAI BEACH,2
NAGERCOIL JN.,TRIVANDRUM CENTRAL,2
NAGORE,KARAIKAL,2
KAMAKHYA JN,PURI,2
KAMAKHYA JN,LOKMANYA TILAK TERMINUS,2
NAGPUR JN.(CR),BHUSAVAL JN.,2
NAGPUR JN.(CR),BILASPUR JN.,2
NAGPUR JN.(CR),INDORE BG,2
NAGPUR JN.(CR),PUNE JN.,2
NAHARLAGUN,GUWAHATI,2
NAGERCOIL JN.,CST-MUMBAI,2
MAKRANA JN.,PARVATSAR CITY,2
MALDA COURT,KATIHAR JN.,2
LOKMANYA TILAK TERMINUS,VISAKHAPATNAM,2
MALDA TOWN,DELHI JN.,2
MALDA TOWN,HOWRAH JN.,2
LOKMANYA TILAK TERMINUS,RAXAUL JN.,2
LOKMANYA TILAK TERMINUS,PURI,2
LOKMANYA TILAK TERMINUS,LUCKNOW JN.,2
LOKMANYA TILAK TERMINUS,KOCHUVELI,2
LOKMANYA TILAK TERMINUS,KAZIPET JN.,2
KHURDA ROAD JN.,NAYAGARHTOWN,2
LOKMANYA TILAK TERMINUS,KAMAKHYA JN,2
LOKMANYA TILAK TERMINUS,HUBLI JN.,2
LOKMANYA TILAK TERMINUS,HOWRAH JN.,2
MANDUADIH,NEW DELHI,2
LOKMANYA TILAK TERMINUS,GUWAHATI,2
LOKMANYA TILAK TERMINUS,FAIZABAD JN.,2
MANGALORE CENTRAL,COIMBATORE  JN.,2
MANGALORE CENTRAL,KABAKA PUTTUR,2
MANGALORE CENTRAL,NAGERCOIL JN.,2
MANGALORE CENTRAL,PONDICHERRY,2
LOKMANYA TILAK TERMINUS,KARMALI,2
MADURAI JN,CHENNAI CENTRAL,2
MADGOAN JN.,SAWANTWADI ROAD,2
MADGOAN JN.,HAZRAT NIZAMUDDIN JN,2
MADGOAN JN.,CST-MUMBAI,2
MAHBUBNAGAR,KACHEGUDA,2
MAHESANA JN,VIRAMGAM JN,2
MAHUVA,BANDRA TERMINUS,2
LUDHIANA JN.,AMBALA CANTT JN,2
LUCKNOW JN.,YESVANTPUR JN.,2
LUCKNOW JN.,PUNE JN.,2
LUCKNOW JN.,CHANDIGARH,2
LUCKNOW JN.,PARTAPGARH JN.,2
MAISHASHAN,SILCHAR,2
MAJERHAT,BARASAT JN.,2
MAJERHAT,DATTAPUKUR,2
LUCKNOW JN.,LOKMANYA TILAK TERMINUS,2
MAJERHAT,HABRA,2
LUCKNOW JN.,KALIANPUR,2
LUCKNOW JN.,JHANSI JN,2
MAJERHAT,HASANABAD,2
LUCKNOW JN.,FAIZABAD JN.,2
LUCKNOW JN.,CHHAPRA JN.,2
LUCKNOW JN.,PRAYAG JN.,2
MEDCHAL,SECUNDERABAD JN.,2
KOLKATA,SITAMARHI,2
KOLKATA,PATNA JN.,2
KOLKATA,GHAZIPUR CITY,2
KOLKATA,AMRITSAR JN.,2
KOLKATA,AGRA CANTT,2
KOLAR,BANGARPET JN.,2
KODERMA,KAWAR,2
MIDNAPORE,JHARGRAM,2
KODERMA,BARKAKANA,2
LEDO,DIBRUGARH TOWN,2
MIDNAPORE,KHARAGPUR,2
MIRAJ JN.,BELGAUM,2
KOCHUVELI,LOKMANYA TILAK TERMINUS,2
MIRAJ JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,2
MIRAJ JN.,HUBLI JN.,2
MIRYALAGUDA,KACHEGUDA,2
MODASA,NADIAD JN.,2
KIRANDUL,VISAKHAPATNAM,2
KHURJA JN,SHAKUR BASTI,2
KHURDA ROAD JN.,PURI,2
KOCHUVELI,YESVANTPUR JN.,2
MANIKPUR JN.,SATNA,2
MANKAPUR JN.,AYODHYA,2
KURSEONG,DARJEELING,2
KURNOOL TOWN,SECUNDERABAD JN.,2
MANKHURD,CST-MUMBAI,2
MANMAD JN.,CST-MUMBAI,2
KUPPAM,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),2
KRISHNA NAGAR CITY JN.,SHANTIPUR JN.,2
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SHIMOGA TOWN,2
MANUGURU,SECUNDERABAD JN.,2
KORAPUT JN.,VISAKHAPATNAM,2
MARWAR JN.,MAVLI JN.,2
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),BANGARPET JN.,2
MATHURA JN.,KASGANJ JN.,2
KOTTAYAM,QUILON,2
KOTTAYAM,ERNAKULAM. JN,2
MAVLI JN.,MARWAR JN.,2
KOTA,PATNA JN.,2
KOTA,HAZRAT NIZAMUDDIN JN,2
MAYILADUTURAI JN.,THANJAVUR JN.,2
MAYILADUTURAI JN.,THIRUVARUR JN.,2
KOT KAPURA JN,FAZILKA JN.,2
MARIKUPPAM,BAIYYAPPANAHALLI,2
HISAR JN,LUDHIANA JN.,2
HISAR JN,JAIPUR JN.,2
PATTABIRAM E DEPOT,CHENNAI BEACH,2
HIJLI,KHARAGPUR,2
HAZRAT NIZAMUDDIN JN,YESVANTPUR JN.,2
HAZRAT NIZAMUDDIN JN,VISAKHAPATNAM,2
PATTABIRAM E DEPOT,VELACHEERY,2
HAZRAT NIZAMUDDIN JN,SECUNDERABAD JN.,2
HAZRAT NIZAMUDDIN JN,PUNE JN.,2
PERNEM,KAWR,2
NARASAPUR,NAGARSOL,2
PHAPHUND,KANPUR CENTRAL JN.,2
HAZRAT NIZAMUDDIN JN,MADGOAN JN.,2
HAZRAT NIZAMUDDIN JN,KOTA,2
HAZRAT NIZAMUDDIN JN,KOSI KALAN,2
HAZRAT NIZAMUDDIN JN,DURG,2
PONDICHERRY,CHENNAI EGMORE,2
PONDICHERRY,MANGALORE CENTRAL,2
PONDICHERRY,TIRUPATI,2
HATIA,PUNE JN.,2
PORBANDAR,BHANVAD,2
HAZRAT NIZAMUDDIN JN,NEW DELHI,2
HOWRAH JN.,MALDA TOWN,2
HOWRAH JN.,LOKMANYA TILAK TERMINUS,2
HOWRAH JN.,KATIHAR JN.,2
PATLIPUTRA,MUZAFFARPUR JN.,2
PATNA JN.,AHMEDABAD,2
PATNA JN.,ARA,2
PATNA JN.,BANDRA TERMINUS,2
PATNA JN.,BARAUNI JN.,2
PATNA JN.,BHABUA ROAD,2
PATNA JN.,DHANBAD JN.,2
HOSUR,YESVANTPUR JN.,2
HOWRAH JN.,DHANBAD JN.,2
HOWRAH JN.,DEHRA DUN,2
PATNA JN.,JAYNAGAR,2
HOWRAH JN.,CHENNAI CENTRAL,2
PATNA JN.,JHAJHA,2
HOWRAH JN.,BOLPUR,2
PATNA JN.,KOLKATA,2
PATNA JN.,KOTA,2
PATNA JN.,MOKAMA JN.,2
HOWRAH JN.,ANAND VIHAR TERMINAL,2
HOWRAH JN.,AMRITSAR JN.,2
PATNA JN.,ERNAKULAM. JN,2
GWALIOR (NG),SABALGARH,2
GUWAHATI,SILCHAR,2
GUWAHATI,NAHARLAGUN,2
PURI,AHMEDABAD,2
GUWAHATI,LOKMANYA TILAK TERMINUS,2
GUWAHATI,JAMMU TAWI,2
GUWAHATI,DIMAPUR,2
PURI,GANDHIDHAM JN.,2
GURUVAYUR,TRICHUR,2
GURUVAYUR,ERNAKULAM. JN,2
HATIA,ANAND VIHAR TERMINAL,2
PURI,KHURDA ROAD JN.,2
PURI,LOKMANYA TILAK TERMINUS,2
GUNTUR JN.,SECUNDERABAD JN.,2
GUNTUR JN.,REPALLE,2
GUNTUR JN.,MACHERLA,2
GUNTUR JN.,KACHEGUDA,2
PURI,SANTRAGACHI JN.,2
GUNA,BINA,2
GULBARGA,HYDERABAD DECCAN,2
GULBARGA,BIDAR,2
PURI,KAMAKHYA JN,2
PORBANDAR,RAJKOT,2
PRAYAG JN.,BAREILLY JN.,2
PRAYAG JN.,FAIZABAD JN.,2
PRAYAG JN.,KANPUR CENTRAL JN.,2
PRAYAG JN.,LUCKNOW JN.,2
HARIDWAR JN,BIKANER JN.,2
PUNALUR,QUILON,2
PUNDOOAH,HOWRAH JN.,2
PUNE JN.,AHMEDABAD,2
PUNE JN.,AMRAVATI,2
PUNE JN.,NAGPUR JN.(CR),2
HANUMANGARH JN.,SHRI GANGANAGAR,2
HALDIBARI,NEW JALPAIGURI JN,2
PUNE JN.,ERNAKULAM. JN,2
PUNE JN.,GORAKHPUR JN.,2
PUNE JN.,HATIA,2
PUNE JN.,HAZRAT NIZAMUDDIN JN,2
PUNE JN.,HOWRAH JN.,2
PUNE JN.,INDORE BG,2
HABIBGANJ,JABALPUR,2
PUNE JN.,LUCKNOW JN.,2
GWALIOR JN,BHIND,2
PUNE JN.,BARAMATI,2
JAUNPUR JN.,AUNRIHAR JN.,2
NEW DELHI,KALKA,2
NEW DELHI,KANPUR CENTRAL JN.,2
NEW DELHI,KURUKSHETRA JN.,2
JAMMU TAWI,UDHAMPUR,2
NEW DELHI,MANDUADIH,2
NEW DELHI,RAJENDRANAGAR TERMINAL,2
JAMMU TAWI,GUWAHATI,2
NEW DELHI,ROHTAK JN.,2
JAMMU TAWI,DURG,2
HOWRAH JN.,NEW JALPAIGURI JN,2
NEW DELHI,SHAKUR BASTI,2
JAMMU TAWI,BATHINDA JN,2
NEW DELHI,SHRI MATA VAISHNO DEVI KATRA,2
JAMALPUR JN.,TILRATH,2
JAMALPUR JN.,SAHIBGANJ,2
NEW DELHI,VARANASI JN.,2
JAMALPUR JN.,KHAGARIA JN.,2
JAMALPUR JN.,BHAGALPUR,2
JALNA,NAGARSOL,2
NEW JALPAIGURI JN,HALDIBARI,2
NEW DELHI,SEALDAH,2
NARASAPUR,NIDADAVOLU JN.,2
JODHPUR JN.,JAISALMER,2
JODHPUR JN.,INDORE BG,2
JODHPUR JN.,DELHI-SARAI ROHILLA,2
NAUTANWA,DURG,2
JIND JN,SONIPAT,2
NAYAGARHTOWN,KHURDA ROAD JN.,2
JHARSUGUDA JN.,SAMBALPUR JN.,2
NEW ALIPURDUAR,SEALDAH,2
JHARGRAM,PURULIA JN.,2
NEW DELHI,DIBRUGARH TOWN,2
NEW BHUJ,BANDRA TERMINUS,2
JHANSI JN,LUCKNOW JN.,2
NEW BHUJ,BAREILLY JN.,2
NEW BHUJ,DADAR,2
JHANSI JN,AGRA CANTT,2
JHAJHA,PATNA JN.,2
NEW DELHI,ALIGARH JN.,2
JETALSAR JN (MG),DHASA JN (MG),2
NEW DELHI,ALLAHABAD JN.,2
JAYNAGAR,PATNA JN.,2
JAYNAGAR,AMRITSAR JN.,2
JHARGRAM,MIDNAPORE,2
PANIPAT JN.,GHAZIABAD JN.,2
HYDERABAD DECCAN,JAIPUR JN.,2
HYDERABAD DECCAN,GULBARGA,2
HYDERABAD DECCAN,CST-MUMBAI,2
HYDERABAD DECCAN,CHENNAI CENTRAL,2
PANVEL,VASAI ROAD,2
PANVEL,VASHI,2
HUBLI JN.,VIJAYWADA JN.,2
HUBLI JN.,SOLAPUR,2
HUBLI JN.,MYSORE JN.,2
NEW JALPAIGURI JN,HOWRAH JN.,2
HUBLI JN.,LOKMANYA TILAK TERMINUS,2
HUBLI JN.,CHIKJAJUR JN.,2
HOWRAH JN.,ULUBARIA,2
PARTAPGARH JN.,LUCKNOW JN.,2
HOWRAH JN.,SIURI,2
HOWRAH JN.,SINGUR,2
HOWRAH JN.,RAXAUL JN.,2
PATHANKOT JN.,DELHI JN.,2
HOWRAH JN.,PURULIA JN.,2
HOWRAH JN.,PUNE JN.,2
PATHANKOT JN.,JOGINDER NAGAR,2
HUBLI JN.,MIRAJ JN.,2
JAISALMER,JODHPUR JN.,2
JAIPUR JN.,UDAIPUR CITY,2
JAIPUR JN.,MUMBAI CENTRAL,2
JAIPUR JN.,HYDERABAD DECCAN,2
JAIPUR JN.,HISAR JN,2
NSC BOSE J GOMO,ASANSOL MAIN,2
JABALPUR,SOMNATH,2
JABALPUR,REWA,2
JABALPUR,INDORE BG,2
JABALPUR,HABIBGANJ,2
PANIPAT JN.,DELHI JN.,2
ITWARI JN.,RAMTEK,2
ITARSI,SATNA,2
PALASA,VISAKHAPATNAM,2
INDORE BG,RAJENDRANAGAR TERMINAL,2
INDORE BG,PUNE JN.,2
INDORE BG,NAGPUR JN.(CR),2
INDORE BG,MUMBAI CENTRAL,2
INDORE BG,JABALPUR,2
INDORE BG,BHOPAL,2
IDGAH,BHARATPUR JN,2
IDGAH,BANDIKUI JN.,2
ONGOLE,VIJAYWADA JN.,2
BHAGALPUR,ANAND VIHAR TERMINAL,2
BHAGA JN,ADRA,2
THANJAVUR JN.,MAYILADUTURAI JN.,2
BHADRAKH,CUTTACK JN.,2
THAWE JN.,CHHAPRA KACHEHRI,2
BHABUA ROAD,PATNA JN.,2
THIRUVARUR JN.,MAYILADUTURAI JN.,2
SHAKTINAGAR,CHOPAN,2
TILRATH,JAMALPUR JN.,2
BELGAUM,MIRAJ JN.,2
BATHINDA JN,SHRI GANGANAGAR,2
BATHINDA JN,JAMMU TAWI,2
BATHINDA JN,FIROZPUR CANTT JN.,2
TIRUCHIRAPPALLI JN.,CHENNAI EGMORE,2
BATHINDA JN,AMBALA CANTT JN,2
BARWADIH JN,DEHRI-ON-SON,2
BERHAMPUR,BHUBANESWAR,2
BHIMAVARAM JN.,NARASAPUR,2
BHIMAVARAM JN.,GUDIVADA JN.,2
TATANAGAR JN,ASANSOL MAIN,2
BHAVNAGAR TERMINUS,BANDRA TERMINUS,2
BHATNI JN.,VARANASI CITY,2
BHATNI JN.,CHHAPRA JN.,2
BHATNI JN.,BARHAJ BAZAR,2
BHAGALPUR,BANKA,2
TATANAGAR JN,HATIA,2
BHARATPUR JN,IDGAH,2
BHANVAD,PORBANDAR,2
BHAGTANWALA,KHEM KARAN,2
TATANAGAR JN,YESVANTPUR JN.,2
TENALI JN.,VIJAYWADA JN.,2
THANE,KALYAN JN,2
BHAGALPUR,JAMALPUR JN.,2
TATANAGAR JN,GUA,2
TIRUPATI,BHUBANESWAR,2
BAREILLY JN.,ALIGARH JN.,2
TIRUPATI,KAKINADA TOWN,2
BARAUNI JN.,SAMASTIPUR JN.,2
BARAUNI JN.,SAHARSA JN.,2
BARAUNI JN.,PATNA JN.,2
BARAUNI JN.,MOKAMA JN.,2
TIRUCHIRAPPALLI JN.,KARAIKAL,2
TIRUPATI,PONDICHERRY,2
TIRUVALLUR,AVADI,2
BANKA,BHAGALPUR,2
BANGRIPOSI,BARIPADA PH,2
BANGARPET JN.,KOLAR,2
TRICHUR,GURUVAYUR,2
BANDRA TERMINUS,UDAIPUR CITY,2
BANDRA TERMINUS,NEW BHUJ,2
BARAUNI JN.,KATIHAR JN.,2
TIRUCHIRAPPALLI JN.,KARAIKKUDI,2
BARUIPUR JN.,SONARPUR JN.,2
BARUIPUR JN.,LAKSHMIKANTAPUR,2
TIRUCHIRAPPALLI JN.,KARUR JN.,2
