Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
54643,JUC-FZR DMU,JALANDHAR CITY JN.,FIROZPUR CANTT JN.,WEDNESDAY,Weekday
54644,FZR-JUC PASS,FIROZPUR CANTT JN.,JALANDHAR CITY JN.,SATURDAY,Weekend
54645,LDH-FZR PASS,LUDHIANA JN.,FIROZPUR CANTT JN.,TUESDAY,Weekday
54646,FZR-LDH PASS,FIROZPUR CANTT JN.,LUDHIANA JN.,FRIDAY,Weekday
54651,JAT-UHP DMU,JAMMU TAWI,UDHAMPUR,WEDNESDAY,Weekday
54654,UHP-JAT DMU,UDHAMPUR,JAMMU TAWI,FRIDAY,Weekday
54701,BTI LGH PASN,BATHINDA JN,LALGARH JN.,MONDAY,Weekday
54702,LGH-ABS PASS,LALGARH JN.,ABOHAR,THURSDAY,Weekday
54703,ABS JU PASSE,ABOHAR,JODHPUR JN.,WEDNESDAY,Weekday
54704,JU BTI PASEN,JODHPUR JN.,BATHINDA JN,WEDNESDAY,Weekday
54751,RE-SGNR  PAS,REWARI JN.,SHRI GANGANAGAR,MONDAY,Weekday
54752,SGNR-RE PASS,SHRI GANGANAGAR,REWARI JN.,THURSDAY,Weekday
54753,BTI-SGNR PAS,BATHINDA JN,SHRI GANGANAGAR,WEDNESDAY,Weekday
54754,SGNR-BTI PAS,SHRI GANGANAGAR,BATHINDA JN,THURSDAY,Weekday
54755,BTI-SGNR PAS,BATHINDA JN,SHRI GANGANAGAR,TUESDAY,Weekday
54756,SGNR-BTI PAS,SHRI GANGANAGAR,BATHINDA JN,SUNDAY,Weekend
54757,UMB-SGNR PAS,AMBALA CANTT JN,SHRI GANGANAGAR,MONDAY,Weekday
54758,SGNR-UMB PAS,SHRI GANGANAGAR,AMBALA CANTT JN,MONDAY,Weekday
54759,SGNR-SOG PAS,SHRI GANGANAGAR,SURATGARH JN.,WEDNESDAY,Weekday
54760,SOG-SGNR PAS,SURATGARH JN.,SHRI GANGANAGAR,WEDNESDAY,Weekday
54761,SGNR-SOG PAS,SHRI GANGANAGAR,SURATGARH JN.,SUNDAY,Weekend
54762,SOG-SGNR PAS,SURATGARH JN.,SHRI GANGANAGAR,FRIDAY,Weekday
54763,SDLP SGNR PA,SADULPUR JN,SHRI GANGANAGAR,SUNDAY,Weekend
54764,SGNR SDLP PA,SHRI GANGANAGAR,SADULPUR JN,TUESDAY,Weekday
54765,DUI-BTI PASS,DHURI JN.,BATHINDA JN,SATURDAY,Weekend
54766,BTI-DUI PASS,BATHINDA JN,DHURI JN.,SATURDAY,Weekend
54781,BTI-RE PAASE,BATHINDA JN,REWARI JN.,TUESDAY,Weekday
54782,RE-BTI PASS,REWARI JN.,BATHINDA JN,WEDNESDAY,Weekday
