Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
BAREILLY CITY,1,4,1,1,5,3,0,2.142857142857143
BAREILLY JN.,2,4,2,4,4,1,0,2.4285714285714284
BARHAJ BAZAR,1,1,0,1,0,1,0,0.5714285714285714
BARHARWA JN.,2,0,1,0,0,2,1,0.8571428571428571
BARHNI,1,1,0,1,0,0,0,0.42857142857142855
BARI,0,0,1,0,0,0,0,0.14285714285714285
BARIPADA PH,1,0,1,1,0,1,0,0.5714285714285714
BARKAKANA,2,0,1,1,1,1,2,1.1428571428571428
BARMER,1,0,2,1,1,2,0,1.0
BARRACKPORE,0,4,3,2,1,3,5,2.5714285714285716
BARSOI JN.,0,0,0,1,0,0,0,0.14285714285714285
BARSUAN,0,0,1,0,0,0,0,0.14285714285714285
BARUI PARA,0,1,1,0,0,0,1,0.42857142857142855
BARUIPUR JN.,5,4,5,2,4,1,4,3.5714285714285716
BARWADIH JN,0,2,2,0,0,1,0,0.7142857142857143
BASTI,1,0,0,0,1,0,0,0.2857142857142857
BATHINDA JN,2,4,1,0,3,1,5,2.2857142857142856
BATHUA BAZAR HALT,0,0,1,0,0,0,0,0.14285714285714285
BAYANA,0,0,1,1,0,1,1,0.5714285714285714
BEAS JN,1,1,0,0,0,0,2,0.5714285714285714
BELAPUR C.B.D,9,6,10,6,6,9,5,7.285714285714286
BELDA,0,0,0,0,1,0,0,0.14285714285714285
BELGAUM,3,0,0,0,0,0,1,0.5714285714285714
BELLARY JN.,0,0,1,0,0,1,0,0.2857142857142857
BELURMATH,1,0,3,0,1,0,1,0.8571428571428571
BENOY BADAL DINESH BAG,1,1,1,0,1,0,1,0.7142857142857143
BERHAMPUR,0,0,0,0,2,1,1,0.5714285714285714
BETTIAH,0,0,0,0,0,0,1,0.14285714285714285
BETUL,0,0,1,0,1,0,0,0.2857142857142857
BHABUA ROAD,0,0,0,2,0,0,0,0.2857142857142857
BHADRACHALAM ROAD,1,0,0,1,0,1,0,0.42857142857142855
BHADRAKH,1,0,0,1,2,1,0,0.7142857142857143
BHAGA JN,1,0,0,0,0,0,1,0.2857142857142857
BHAGALPUR,1,4,1,5,1,1,6,2.7142857142857144
BHAGAT-KI-KOTHI,1,3,1,1,1,2,1,1.4285714285714286
BHAGTANWALA,0,0,1,0,0,0,1,0.2857142857142857
BHAIRABI,0,1,0,0,0,0,0,0.14285714285714285
BHALUKPONG,0,0,1,0,0,0,0,0.14285714285714285
BHANJPUR,0,0,0,1,1,0,1,0.42857142857142855
BHANVAD,0,0,1,0,1,0,0,0.2857142857142857
BHARATPUR JN,1,0,0,0,0,1,1,0.42857142857142855
BHARUCH JN.,1,0,1,1,0,1,0,0.5714285714285714
BHATNI JN.,1,0,1,1,1,2,0,0.8571428571428571
BHAVNAGAR TERMINUS,1,1,1,5,4,1,3,2.2857142857142856
BHILAD,0,0,1,0,0,0,0,0.14285714285714285
BHILDI JN,0,0,0,0,0,1,0,0.14285714285714285
BHILWARA,0,0,1,0,0,0,0,0.14285714285714285
BHIMAVARAM JN.,1,0,1,2,1,2,1,1.1428571428571428
BHIMAVARAM TOWN,0,0,0,0,1,0,0,0.14285714285714285
BHIND,1,1,1,1,1,0,0,0.7142857142857143
BHIWANI JN.,1,1,1,2,2,2,0,1.2857142857142858
BHOJUDIH JN.,1,0,1,0,1,1,0,0.5714285714285714
BHONGIR,0,0,0,1,0,0,0,0.14285714285714285
BHOPAL,3,5,0,2,2,2,2,2.2857142857142856
BHUBANESWAR,6,2,5,1,6,4,7,4.428571428571429
BHUSAVAL JN.,1,2,4,0,0,4,2,1.8571428571428572
BIDAR,1,0,1,3,0,1,2,1.1428571428571428
BIJAPUR JN,1,2,2,1,0,0,0,0.8571428571428571
BIKANER JN.,4,7,1,2,4,3,4,3.5714285714285716
BILARA,0,0,1,0,0,0,0,0.14285714285714285
BILASPUR JN.,3,3,6,4,3,6,5,4.285714285714286
BINA,2,2,0,0,2,3,1,1.4285714285714286
BIR,2,0,0,0,0,0,0,0.2857142857142857
BIRAUL,0,0,0,0,2,1,0,0.42857142857142855
BIRMITRAPUR,0,0,1,0,0,0,0,0.14285714285714285
BIRUR JN.,0,0,0,0,1,0,0,0.14285714285714285
BISHNUPUR,0,0,1,0,0,0,0,0.14285714285714285
BITRAGUNTA,0,0,0,1,0,0,1,0.2857142857142857
BOBBILI JN.,0,3,0,1,1,0,0,0.7142857142857143
BODHAN,2,0,1,0,0,0,0,0.42857142857142855
BOISAR,1,0,0,0,0,0,0,0.14285714285714285
BOKARO STEEL CITY,1,1,0,1,1,0,1,0.7142857142857143
BOLARUM,0,1,1,0,0,0,1,0.42857142857142855
BOLPUR,0,0,0,0,0,0,2,0.2857142857142857
BORDHAI,0,0,0,1,0,0,0,0.14285714285714285
BORIVLI,1,0,1,0,0,0,0,0.2857142857142857
BOTAD,0,0,0,1,1,0,0,0.2857142857142857
BOTAD JN (MG),0,1,0,0,1,1,2,0.7142857142857143
BUDGAM,3,0,1,0,0,2,4,1.4285714285714286
BUDGE BUDGE,4,5,4,3,5,5,5,4.428571428571429
BULANDSHAHR,0,0,0,0,0,1,0,0.14285714285714285
BUNIYADPUR,0,0,0,1,0,0,0,0.14285714285714285
BURHWAL JN.,0,0,1,1,0,0,0,0.2857142857142857
BUXAR,0,2,1,0,0,0,0,0.42857142857142855
