Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
KAMAKHYA JN,3,1,1,2,3,4,4,2.5714285714285716
KANALUS,1,0,0,0,0,0,0,0.14285714285714285
KANCHIPURAM,0,0,0,0,0,1,1,0.2857142857142857
KANKURGACHHI ROAD JN.,1,0,0,0,0,0,1,0.2857142857142857
KANNIYAKUMARI,4,3,3,1,0,0,1,1.7142857142857142
KANNUR,1,1,2,2,1,1,3,1.5714285714285714
KANPUR ANWARGANJ,0,1,0,1,1,0,0,0.42857142857142855
KANPUR CENTRAL JN.,3,4,9,6,6,6,8,6.0
KAPTANGANJ JN.,0,1,0,1,0,0,0,0.2857142857142857
KARAIKAL,0,1,3,1,2,3,0,1.4285714285714286
KARAIKKUDI,0,0,0,1,1,1,1,0.5714285714285714
KARIM NAGAR,1,0,2,1,1,0,0,0.7142857142857143
KARJAT,7,4,13,2,3,5,5,5.571428571428571
KARMALI,2,0,1,0,1,0,1,0.7142857142857143
KARUR JN.,0,1,0,2,0,0,1,0.5714285714285714
KASARA,2,1,2,5,3,2,3,2.5714285714285716
KASARAGOD,0,0,1,0,0,0,0,0.14285714285714285
KASGANJ JN.,3,0,2,2,4,3,2,2.2857142857142856
KASHIPUR JN,1,2,1,1,0,0,0,0.7142857142857143
KATANGI,1,0,1,0,0,3,0,0.7142857142857143
KATHANA,1,0,0,0,1,0,0,0.2857142857142857
KATHGODAM,2,0,1,3,0,2,2,1.4285714285714286
KATIHAR JN.,6,1,6,6,6,6,2,4.714285714285714
KATNI,1,1,1,0,1,0,1,0.7142857142857143
KATNI MURWARA,0,0,0,1,0,1,0,0.2857142857142857
KATPADI JN,1,1,1,0,2,2,0,1.0
KATWA JN.,1,7,3,6,3,2,8,4.285714285714286
KAWAR,1,1,0,0,0,0,0,0.2857142857142857
KAWR,0,2,0,1,0,1,0,0.5714285714285714
KAYANKULAM JN,1,1,0,2,0,0,0,0.5714285714285714
KAZIPET JN.,2,1,1,2,2,0,1,1.2857142857142858
KENDRI,1,1,1,1,0,0,0,0.5714285714285714
KENDUJHAR,0,0,0,0,0,0,1,0.14285714285714285
KHAGARIA JN.,1,0,0,0,0,0,1,0.2857142857142857
KHAJAURAHO,1,2,0,1,2,1,0,1.0
KHAMBHAT,0,2,1,2,1,1,1,1.1428571428571428
KHANDWA JN. (CR),0,0,1,0,0,0,1,0.2857142857142857
KHANODIH,0,1,0,0,0,0,0,0.14285714285714285
KHARAGPUR,2,6,1,4,7,5,7,4.571428571428571
KHEM KARAN,0,0,0,1,0,0,3,0.5714285714285714
KHIJADIYA JN,0,0,0,0,1,0,0,0.14285714285714285
KHURDA ROAD JN.,1,0,1,0,1,0,2,0.7142857142857143
KHURJA JN,1,1,0,0,1,1,1,0.7142857142857143
KIRANDUL,0,0,0,1,1,0,0,0.2857142857142857
KISHANGANJ,0,0,0,1,0,1,0,0.2857142857142857
KIUL JN.,0,1,3,2,2,1,3,1.7142857142857142
KOCHUVELI,1,2,1,5,1,2,3,2.142857142857143
KODERMA,1,2,2,0,0,0,0,0.7142857142857143
KODINAR,1,0,0,0,0,0,0,0.14285714285714285
KOLAGHAT,0,0,1,0,0,0,0,0.14285714285714285
KOLAR,2,1,0,1,0,1,0,0.7142857142857143
KOLKATA,4,6,6,5,5,3,8,5.285714285714286
KONCH,1,2,1,0,0,1,0,0.7142857142857143
KORAPUT JN.,1,0,0,0,1,1,1,0.5714285714285714
KORBA,1,0,0,0,1,2,0,0.5714285714285714
KOSI KALAN,0,0,2,0,0,1,1,0.5714285714285714
KOT KAPURA JN,1,0,0,0,0,1,0,0.2857142857142857
KOTA,3,3,3,3,2,2,3,2.7142857142857144
KOTDWARA,0,0,2,1,1,1,1,0.8571428571428571
KOTIPALLI,0,0,0,0,1,0,0,0.14285714285714285
KOTTAYAM,1,2,0,0,0,0,1,0.5714285714285714
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),4,11,15,8,13,8,5,9.142857142857142
KRISHNA NAGAR CITY JN.,5,3,2,3,3,3,7,3.7142857142857144
KRISHNA RAJA PURAM,0,0,1,0,0,0,1,0.2857142857142857
KULEM,0,1,1,0,1,0,0,0.42857142857142855
KUMBAKONAM,0,0,1,0,0,0,0,0.14285714285714285
KUPPAM,1,0,2,0,0,0,0,0.42857142857142855
KURDUVADI JN.,0,0,0,0,0,0,1,0.14285714285714285
KURLA,2,5,3,5,8,1,4,4.0
KURNOOL TOWN,0,0,3,1,0,0,1,0.7142857142857143
KURSEONG,0,0,1,0,0,1,0,0.2857142857142857
KURUKSHETRA JN.,1,3,2,1,3,1,2,1.8571428571428572
KUSUNDA,0,0,0,0,1,0,0,0.14285714285714285
KWAKDWIP,1,0,0,0,0,0,0,0.14285714285714285
LAKSHMIKANTAPUR,4,4,5,6,9,4,6,5.428571428571429
LALGARH JN.,0,0,0,1,0,1,0,0.2857142857142857
LALGOLA,2,3,1,2,1,3,4,2.2857142857142856
LALGUDI,1,0,0,0,0,0,0,0.14285714285714285
LALKUA JN.,3,3,1,1,3,0,0,1.5714285714285714
LANJI GARH ROAD,0,0,0,0,1,0,0,0.14285714285714285
LEDO,1,0,1,0,1,0,1,0.5714285714285714
LINGAMPALLI,6,4,7,5,13,9,10,7.714285714285714
LOHARDAGA  BS,0,1,0,1,0,0,1,0.42857142857142855
LOHIAN KHAS JN.,0,0,1,1,1,0,1,0.5714285714285714
LOKMANYA TILAK TERMINUS,5,11,5,17,7,14,11,10.0
LONAVLA,0,6,0,4,4,0,4,2.5714285714285716
LONDA JN.,0,1,0,0,0,0,0,0.14285714285714285
LUCKNOW JN.,6,12,10,11,11,11,7,9.714285714285714
LUDHIANA JN.,4,3,3,3,4,1,2,2.857142857142857
LUMDING JN.,0,1,0,1,0,0,1,0.42857142857142855
MACHERLA,0,1,0,1,0,1,0,0.42857142857142855
MACHILIPATNAM,1,1,2,1,3,1,3,1.7142857142857142
MADANMAHAL,0,0,0,0,0,1,0,0.14285714285714285
MADAR JN,0,1,0,0,0,0,1,0.2857142857142857
MADGOAN JN.,3,1,2,0,4,4,2,2.2857142857142856
MADHUPUR JN.,3,0,1,1,0,0,0,0.7142857142857143
MADHYAM GRAM,0,0,0,0,0,0,2,0.2857142857142857
MADURAI JN,4,3,2,5,1,3,3,3.0
MAGRAHAT,0,0,0,1,0,0,0,0.14285714285714285
MAHARAJGANJ,0,1,1,2,0,1,0,0.7142857142857143
MAHBUBABAD,0,0,1,0,0,0,1,0.2857142857142857
MAHBUBNAGAR,0,0,2,0,2,0,0,0.5714285714285714
MAHESANA JN,0,1,1,1,0,3,2,1.1428571428571428
MAHOBA,0,1,2,0,0,0,0,0.42857142857142855
MAHUVA,0,1,0,1,1,2,1,0.8571428571428571
MAILANI JN.,2,1,2,3,2,2,0,1.7142857142857142
MAIRABARI,0,0,0,0,1,0,0,0.14285714285714285
MAISHASHAN,0,2,0,0,0,0,0,0.2857142857142857
MAJERHAT,3,0,2,2,4,1,1,1.8571428571428572
MAJHOLA PAKARIYA,1,0,0,0,0,2,0,0.42857142857142855
MAKRANA JN.,0,0,0,0,0,1,1,0.2857142857142857
MAKSI JN,1,0,0,0,0,0,0,0.14285714285714285
MALDA COURT,1,1,1,0,1,0,0,0.5714285714285714
MALDA TOWN,1,2,3,1,5,3,3,2.5714285714285716
MALIYA MIYANA JN.,0,0,0,1,0,0,0,0.14285714285714285
MANAMADURAI,0,0,0,0,0,0,1,0.14285714285714285
MANANWALA,1,0,0,0,0,0,0,0.14285714285714285
MANDSOR,0,0,0,0,0,0,1,0.14285714285714285
MANDUADIH,1,0,1,1,4,3,2,1.7142857142857142
MANENDRAGARH,0,0,0,0,0,1,0,0.14285714285714285
MANGALORE CENTRAL,4,4,1,2,3,7,6,3.857142857142857
MANGALORE JN,0,1,0,0,1,1,1,0.5714285714285714
MANIKPUR JN.,1,1,0,0,1,1,0,0.5714285714285714
MANKAPUR JN.,0,0,0,0,0,2,2,0.5714285714285714
MANKHURD,1,0,0,0,0,0,1,0.2857142857142857
MANMAD JN.,0,0,1,2,0,2,4,1.2857142857142858
MANNARGUDI,3,1,1,0,1,0,0,0.8571428571428571
MANOHARABAD,0,0,2,1,0,0,1,0.5714285714285714
MANUGURU,0,1,0,0,1,0,1,0.42857142857142855
MARIANI JN.,0,1,0,1,0,0,0,0.2857142857142857
MARIKUPPAM,3,2,2,0,0,1,3,1.5714285714285714
MARKAPUR ROAD,0,0,0,0,0,0,1,0.14285714285714285
MARWAR JN.,0,0,1,1,0,1,0,0.42857142857142855
MASAGRAM,2,0,0,1,0,1,0,0.5714285714285714
MATHURA JN.,2,2,3,4,2,3,2,2.5714285714285716
MAU JN.,0,1,0,0,1,2,0,0.5714285714285714
MAVLI JN.,0,1,0,0,0,1,0,0.2857142857142857
MAYILADUTURAI JN.,2,3,3,2,3,0,2,2.142857142857143
MECHEDA,1,0,3,0,1,4,1,1.4285714285714286
MEDCHAL,1,2,1,0,3,0,0,1.0
MEERUT CANT,0,0,0,0,0,1,0,0.14285714285714285
MEERUT CITY JN.,2,1,1,0,1,1,1,1.0
MELMARUVATHUR,0,0,0,1,0,0,1,0.2857142857142857
MEMARI,1,0,0,2,1,0,1,0.7142857142857143
MENDIPATHAR,0,0,0,1,0,0,0,0.14285714285714285
MERTA CITY,2,1,1,3,2,0,0,1.2857142857142858
MERTA ROAD JN.,1,2,1,1,4,3,1,1.8571428571428572
METTUPALAIYAM JN.,0,1,0,2,1,2,0,0.8571428571428571
METTUR DAM,0,0,1,1,0,0,0,0.2857142857142857
MHOW,1,1,2,1,4,4,3,2.2857142857142856
MIDNAPORE,2,3,5,1,4,1,4,2.857142857142857
MIRAJ JN.,1,0,1,2,3,3,2,1.7142857142857142
MIRYALAGUDA,0,0,1,0,1,0,1,0.42857142857142855
MIRZAPALI,0,0,0,0,0,1,1,0.2857142857142857
MODASA,0,1,0,0,1,0,0,0.2857142857142857
MOGA,0,0,0,0,0,0,1,0.14285714285714285
MOKAMA JN.,2,1,1,1,2,1,0,1.1428571428571428
MOOR MARKET,20,23,20,17,20,14,21,19.285714285714285
MORADABAD JN.,3,5,0,2,4,5,5,3.4285714285714284
MORVI,0,0,2,1,1,1,1,0.8571428571428571
MUGHAL SARAI JN.,1,2,4,2,2,2,0,1.8571428571428572
MUMBAI CENTRAL,4,5,2,4,4,4,1,3.4285714285714284
MUMBAI VADALA ROAD,3,2,6,3,1,2,2,2.7142857142857144
MUNABAO,0,0,0,0,0,0,2,0.2857142857142857
MURI,0,0,0,0,0,1,0,0.14285714285714285
MURKEONG SELEK,1,1,0,0,1,2,0,0.7142857142857143
MUZAFFARPUR JN.,1,3,6,4,5,5,4,4.0
MYSORE JN.,4,6,5,6,2,7,6,5.142857142857143
NABADWIP DHAM,0,1,0,0,0,0,0,0.14285714285714285
NADIAD JN.,0,0,0,0,1,1,0,0.2857142857142857
NADIKUDE JN.,0,0,0,0,0,0,1,0.14285714285714285
NAGAPPATTINAM,0,0,1,0,0,0,1,0.2857142857142857
NAGARSOL,1,1,0,1,1,0,2,0.8571428571428571
NAGBHIR JN.,1,0,1,0,0,0,2,0.5714285714285714
NAGDA JN,1,1,1,1,1,0,2,1.0
NAGERCOIL JN.,3,1,4,1,2,4,2,2.4285714285714284
NAGORE,1,0,0,0,1,0,1,0.42857142857142855
NAGPUR JN.(CR),3,7,2,5,3,2,0,3.142857142857143
NAHARLAGUN,0,0,1,1,0,0,1,0.42857142857142855
NAIHATI JN.,7,11,4,8,8,4,5,6.714285714285714
NAINPUR JN.,0,0,0,0,2,1,0,0.42857142857142855
NAJIBABAD JN.,1,1,1,1,1,2,1,1.1428571428571428
NAKAHA JUNGLE,0,0,0,1,1,0,0,0.2857142857142857
NAKODAR JN.,1,0,1,2,0,0,0,0.5714285714285714
NALHATI JN.,0,0,0,0,0,0,1,0.14285714285714285
NAMKHANA,2,3,0,2,2,3,2,2.0
NANDED,4,1,4,1,3,4,4,3.0
NANDYAL,0,1,0,1,0,0,1,0.42857142857142855
NANGAL DAM,0,0,1,0,0,4,2,1.0
NANJANGUD TOWN,0,0,0,0,1,0,0,0.14285714285714285
NARASAPUR,2,1,1,2,3,2,2,1.8571428571428572
NARKATIAGANJ JN.,1,1,2,1,2,3,2,1.7142857142857142
NARKHER,0,0,0,0,1,1,1,0.42857142857142855
NARWANA JN.,0,0,0,0,0,0,1,0.14285714285714285
NATHDWARA,0,0,0,0,0,0,1,0.14285714285714285
NAUTANWA,0,4,1,1,1,0,1,1.1428571428571428
NAYAGARHTOWN,1,0,0,0,1,0,0,0.2857142857142857
NELLORE,2,0,0,0,0,1,1,0.5714285714285714
NEPALGANJ ROAD,0,1,0,1,1,0,0,0.42857142857142855
NERUL,4,3,3,4,7,4,3,4.0
NEW ALIPUR (CALCUTTA),0,0,0,0,0,1,0,0.14285714285714285
NEW ALIPURDUAR,1,0,1,0,0,0,0,0.2857142857142857
NEW AMRAVATI,1,0,0,0,0,0,0,0.14285714285714285
NEW BHUJ,0,2,2,0,1,1,3,1.2857142857142858
NEW BONGAIGAON  JN.,2,3,1,0,0,0,0,0.8571428571428571
NEW COOCH BEHAR,0,1,0,0,0,0,1,0.2857142857142857
NEW DELHI,12,23,14,18,8,19,13,15.285714285714286
NEW JALPAIGURI JN,6,2,1,1,1,2,4,2.4285714285714284
NEW TINSUKIA JN,0,1,0,0,1,0,0,0.2857142857142857
NIDADAVOLU JN.,0,0,0,1,1,0,2,0.5714285714285714
NILAMBUR ROAD,0,1,3,1,0,0,2,1.0
NIMACH,1,0,0,0,0,0,1,0.2857142857142857
NIMTITA,0,0,0,1,1,0,0,0.2857142857142857
NIZAMABAD,1,2,1,0,2,2,2,1.4285714285714286
NORTH LAKHIMPUR,0,0,0,1,0,0,0,0.14285714285714285
NSC BOSE J GOMO,0,2,0,3,0,1,1,1.0
OKHA,1,2,4,4,2,2,1,2.2857142857142856
OLD MALDA,0,0,0,1,0,0,0,0.14285714285714285
ONGOLE,2,0,0,0,1,1,0,0.5714285714285714
PALAKKAD JN,1,1,0,0,2,1,0,0.7142857142857143
PALANI,1,0,1,1,0,0,0,0.42857142857142855
PALANPUR JN,0,0,0,0,1,0,2,0.42857142857142855
PALASA,0,0,0,4,1,0,1,0.8571428571428571
PALASDARI,2,5,1,1,6,0,2,2.4285714285714284
PALGHAT TOWN,0,1,1,0,0,0,1,0.42857142857142855
PALITANA,0,0,1,1,2,0,1,0.7142857142857143
PALLAVARAM,0,0,0,1,0,0,0,0.14285714285714285
PALWAL,2,2,0,2,3,4,3,2.2857142857142856
PANDHARPUR,0,0,2,0,0,2,1,0.7142857142857143
PANIPAT JN.,1,1,1,2,3,1,3,1.7142857142857142
PANKI,0,0,0,0,1,0,0,0.14285714285714285
PANSKURA,3,2,2,2,2,0,2,1.8571428571428572
PANVEL,18,18,20,20,20,23,22,20.142857142857142
PARADEEP,0,2,0,1,0,3,0,0.8571428571428571
PARBHANI JN.,0,0,0,0,1,0,0,0.14285714285714285
PARLI VAIJNATH,0,0,1,0,2,0,1,0.5714285714285714
PARTAPGARH JN.,1,0,2,0,1,1,3,1.1428571428571428
PARVATSAR CITY,0,0,0,1,0,0,0,0.14285714285714285
PATAN,2,0,1,1,0,1,2,1.0
PATHANKOT JN.,2,2,2,3,4,3,5,3.0
PATIALA,0,0,1,0,0,0,0,0.14285714285714285
PATLIPUTRA,3,0,2,3,0,1,0,1.2857142857142858
PATNA GHAT,0,0,1,0,1,0,0,0.2857142857142857
PATNA JN.,8,9,13,11,14,5,7,9.571428571428571
PATTABIRAM E DEPOT,1,0,3,5,6,5,1,3.0
PATTABIRAM EAST CABIN,0,0,0,0,0,0,1,0.14285714285714285
PEDDAPALLI,0,0,0,0,0,1,1,0.2857142857142857
PENDLIMARRI,0,0,0,0,1,0,0,0.14285714285714285
PENDRA ROAD,0,0,0,0,0,1,0,0.14285714285714285
PERNEM,0,0,2,0,0,0,0,0.2857142857142857
PETRAPOLE,1,0,0,0,0,0,0,0.14285714285714285
PHAPHUND,0,1,0,0,0,2,0,0.42857142857142855
PHEPHNA JN.,0,1,0,0,0,0,0,0.14285714285714285
PHULERA JN.,1,1,0,1,0,0,1,0.5714285714285714
PHULWARTANR,0,0,0,1,1,0,0,0.2857142857142857
PIDUGURALLA,0,0,0,1,0,0,0,0.14285714285714285
PILIBHIT JN.,2,3,0,4,5,1,3,2.5714285714285716
POLLACHI,0,0,0,2,0,0,0,0.2857142857142857
PONDICHERRY,4,2,2,2,1,4,1,2.2857142857142856
PONNERI,2,0,0,0,0,1,1,0.5714285714285714
PORBANDAR,0,0,4,5,1,2,1,1.8571428571428572
PRATAP NAGAR,0,0,0,0,0,0,1,0.14285714285714285
PRAYAG JN.,3,0,2,3,0,1,2,1.5714285714285714
PRINCEP GHAT,0,0,1,0,0,0,0,0.14285714285714285
PUNALUR,2,1,0,1,1,0,0,0.7142857142857143
PUNDOOAH,0,0,1,1,0,0,0,0.2857142857142857
PUNE JN.,8,9,13,12,7,17,15,11.571428571428571
PURI,6,9,5,6,7,4,12,7.0
PURNA  JN.,1,1,0,1,0,1,2,0.8571428571428571
PURNEA COURT,0,1,0,0,0,0,0,0.14285714285714285
PURNEA JN.,1,0,0,1,0,0,1,0.42857142857142855
PURULIA JN.,1,0,1,0,2,1,4,1.2857142857142858
PUSHKAR TERMINUS,0,0,0,0,1,0,0,0.14285714285714285
QADIAN,0,0,0,1,0,0,0,0.14285714285714285
QUILON,4,5,3,4,6,4,3,4.142857142857143
R BLOCK HALT,0,0,1,0,0,0,0,0.14285714285714285
RADHIKAPUR,1,0,1,2,1,0,1,0.8571428571428571
RAE BARELI JN.,2,2,0,1,2,0,1,1.1428571428571428
RAGHUNATHPUR,0,0,0,0,1,0,0,0.14285714285714285
RAGHURAJ SINGH,0,0,0,1,1,0,0,0.2857142857142857
RAICHUR,0,0,0,1,0,1,1,0.42857142857142855
RAIGARH,1,0,0,0,1,2,0,0.5714285714285714
RAIPUR JN.,3,1,3,3,5,2,2,2.7142857142857144
RAJAHMUNDRY,1,3,0,1,0,1,0,0.8571428571428571
RAJENDRANAGAR TERMINAL,4,3,2,1,3,1,0,2.0
RAJGIR,1,1,2,0,0,2,1,1.0
RAJIM,0,1,0,1,0,1,0,0.42857142857142855
RAJKOT,2,2,1,1,2,2,1,1.5714285714285714
RAJMAHAL,1,1,1,1,2,0,2,1.1428571428571428
RAJPIPLA,0,0,0,0,0,1,0,0.14285714285714285
RAJULA CITY,0,0,0,0,1,0,0,0.14285714285714285
RAMANAGARAM,0,0,0,0,1,1,1,0.42857142857142855
RAMESWARAM,2,1,2,1,1,2,4,1.8571428571428572
RAMNAGAR,4,0,2,2,1,2,1,1.7142857142857142
RAMPUR HAT,4,1,7,2,5,1,3,3.2857142857142856
RAMTEK,0,0,0,0,0,2,1,0.42857142857142855
RANAGHAT JN.,6,3,6,9,8,9,8,7.0
RANCHI,5,3,1,4,4,6,3,3.7142857142857144
RANGAPARA NORTH,0,1,0,0,0,1,1,0.42857142857142855
RANGIYA JN.,0,0,1,2,3,1,2,1.2857142857142858
RANINAGAR JALPAIGURI,1,0,0,0,0,0,0,0.14285714285714285
RANUJ,0,1,0,0,1,0,0,0.2857142857142857
RATANAGARH JN,3,0,0,0,0,1,2,0.8571428571428571
RATLAM JN,2,0,0,3,4,2,3,2.0
RATNAGIRI,0,0,0,0,1,1,0,0.2857142857142857
RAVIKAMPADU,0,0,1,0,0,0,0,0.14285714285714285
RAVLI JN,16,12,16,11,18,14,12,14.142857142857142
RAXAUL JN.,2,2,0,6,1,5,3,2.7142857142857144
RAYA DRUG,0,1,0,0,0,0,0,0.14285714285714285
RAYAGADA JN.,0,0,1,1,0,1,1,0.5714285714285714
RENIGUNTA JN.,0,1,0,1,0,1,0,0.42857142857142855
REPALLE,1,0,1,1,1,1,2,1.0
REWA,1,0,2,2,3,1,1,1.4285714285714286
REWARI JN.,3,2,6,4,4,3,3,3.5714285714285716
RISHIKESH,2,0,0,0,2,0,2,0.8571428571428571
ROHA,1,0,0,0,0,1,0,0.2857142857142857
ROHTAK JN.,4,2,1,0,3,2,3,2.142857142857143
ROURKELA,1,2,2,3,1,0,0,1.2857142857142858
ROZA JN,1,0,0,0,0,0,0,0.14285714285714285
RUPSA JN.,0,0,2,0,0,0,0,0.2857142857142857
SABALGARH,1,0,0,0,2,0,0,0.42857142857142855
SADULPUR JN,0,1,1,0,0,1,1,0.5714285714285714
SAGAULI JN.,0,1,1,0,0,0,0,0.2857142857142857
SAHARANPUR JN.,3,5,2,1,4,2,1,2.5714285714285716
SAHARSA JN.,4,2,2,2,7,4,2,3.2857142857142856
SAHIBABAD,1,0,0,0,0,0,0,0.14285714285714285
SAHIBGANJ,1,0,1,4,1,0,2,1.2857142857142858
SAI NAGAR SHIRDI,1,1,6,0,2,2,3,2.142857142857143
SAINTHIA JN.,1,0,0,2,0,0,1,0.5714285714285714
SALEM JN.,0,0,3,2,0,2,2,1.2857142857142858
SALEMPUR JN.,1,0,1,0,0,0,0,0.2857142857142857
SALUR,0,2,1,1,0,1,0,0.7142857142857143
SAMASTIPUR JN.,2,4,3,3,2,2,4,2.857142857142857
SAMBAHAL HATIM SARAI,0,0,0,1,1,1,1,0.5714285714285714
SAMBALPUR JN.,0,0,2,0,3,2,4,1.5714285714285714
SANAWAD,0,1,0,1,0,1,1,0.5714285714285714
SANGLI,0,0,0,0,0,1,0,0.14285714285714285
SANJAN,0,0,0,0,1,1,0,0.2857142857142857
SANTRAGACHI JN.,3,4,4,1,5,6,2,3.5714285714285716
SARDARSAHAR,1,0,1,1,0,0,0,0.42857142857142855
SASARAM,1,0,0,2,1,0,0,0.5714285714285714
SATARA,0,0,0,1,0,1,0,0.2857142857142857
SATNA,0,1,2,0,0,1,0,0.5714285714285714
SAWAI MADHOPUR JN,0,0,0,0,0,1,0,0.14285714285714285
SAWANTWADI ROAD,0,2,0,0,1,2,0,0.7142857142857143
SEALDAH,45,65,49,58,53,49,53,53.142857142857146
SECUNDERABAD JN.,7,7,13,10,5,8,16,9.428571428571429
SENGOTTAI JN,1,2,0,0,1,1,3,1.1428571428571428
SEORAPHULI JN.,2,1,2,1,2,5,2,2.142857142857143
SHAHDOL,0,0,0,1,0,0,1,0.2857142857142857
SHAHGANJ JN.,1,1,0,0,0,0,1,0.42857142857142855
SHAHJAHANPUR JN,2,2,0,1,1,2,1,1.2857142857142858
SHAKTINAGAR,0,1,0,1,1,0,0,0.42857142857142855
SHAKUR BASTI,2,4,1,0,4,2,0,1.8571428571428572
SHALIMAR,1,4,2,4,5,3,0,2.7142857142857144
SHAMLI,2,2,1,0,1,0,0,0.8571428571428571
SHANTIPUR JN.,1,9,1,3,2,4,1,3.0
SHEOPUR KALAN,1,0,0,0,1,0,0,0.2857142857142857
SHIKOHABAD JN.,0,0,0,0,1,0,1,0.2857142857142857
SHIMLA,2,0,0,0,1,1,1,0.7142857142857143
SHIMOGA TOWN,5,0,3,0,0,0,0,1.1428571428571428
SHIVAJINAGAR,0,0,0,1,0,1,0,0.2857142857142857
SHORANUR JN.,2,2,2,2,0,1,1,1.4285714285714286
SHRI GANGANAGAR,1,5,6,4,1,1,3,3.0
SHRI MATA VAISHNO DEVI KATRA,4,2,3,4,5,1,2,3.0
SHRIPAT SHRIKHANDA,0,0,0,0,1,0,0,0.14285714285714285
SHRIRAMPUR,1,0,1,0,0,1,2,0.7142857142857143
SIKAR JN.,0,1,1,0,3,0,1,0.8571428571428571
SILCHAR,0,4,1,1,2,2,3,1.8571428571428572
SILGHAT TOWN,1,0,0,0,0,1,0,0.2857142857142857
SILIGURI JN.,1,4,3,1,3,0,2,2.0
SIMALUGURI JN.,0,0,0,0,0,1,0,0.14285714285714285
SINDRI TOWN,0,0,0,0,3,0,0,0.42857142857142855
SINGHABAD,0,0,0,0,0,0,1,0.14285714285714285
SINGRAULI,0,1,0,2,1,0,1,0.7142857142857143
SINGUR,0,1,0,0,1,0,0,0.2857142857142857
SIRMUTTRA,0,1,0,0,0,0,1,0.2857142857142857
SIRPUR TOWN,1,0,0,1,0,0,0,0.2857142857142857
SIRPURKAGHAZ NAGAR,0,0,0,0,0,2,0,0.2857142857142857
SIRSA,1,1,0,0,0,0,1,0.42857142857142855
SITAMARHI,1,2,0,0,1,1,0,0.7142857142857143
SITAPUR CANTT,0,0,2,0,0,0,3,0.7142857142857143
SITAPUR CITY JN.,1,1,0,1,1,0,0,0.5714285714285714
SIURI,0,1,1,0,0,0,0,0.2857142857142857
SIWAN JN.,0,2,0,2,2,1,3,1.4285714285714286
SOLAPUR,3,2,2,3,4,3,1,2.5714285714285716
SOMNATH,0,1,2,2,0,0,2,1.0
SONAMUKHI PH,0,0,0,1,0,0,0,0.14285714285714285
SONARDIH,0,0,1,0,0,0,0,0.14285714285714285
SONARPUR JN.,1,4,4,5,0,2,2,2.5714285714285716
SONIPAT,2,0,0,0,0,0,1,0.42857142857142855
SONPUR JN.,1,0,1,0,0,1,1,0.5714285714285714
SRI SATYA SAI PRASANTI NILAYAM,2,0,0,0,0,0,0,0.2857142857142857
ST. THOMAS MOUNT,1,0,0,0,0,0,0,0.14285714285714285
SUBRAHMANYA ROAD,1,0,0,0,0,0,0,0.14285714285714285
SULLURUPETTA,4,1,6,3,2,3,1,2.857142857142857
SULTANGANJ,0,0,0,0,1,1,0,0.2857142857142857
SULTANPUR JN.,2,2,0,1,0,2,1,1.1428571428571428
SURAT,1,3,4,4,2,5,2,3.0
SURATGARH JN.,1,0,2,1,2,1,2,1.2857142857142858
SURENDRANAGAR,1,1,1,1,0,1,1,0.8571428571428571
TALCHER,0,0,0,0,0,1,0,0.14285714285714285
TALEGAON,1,1,1,1,0,0,0,0.5714285714285714
TALGUPPA,0,0,2,0,1,1,0,0.5714285714285714
TAMBARAM,18,24,13,24,21,23,17,20.0
TANDUR,0,1,1,0,0,0,0,0.2857142857142857
TANTPUR,1,0,0,0,0,0,0,0.14285714285714285
TARAKESHWAR,2,7,4,2,2,7,4,4.0
TARIGHAT,2,0,0,1,0,0,0,0.42857142857142855
TARN TARAN,0,0,1,0,1,2,0,0.5714285714285714
TATANAGAR JN,7,5,5,3,3,3,4,4.285714285714286
TELTA,0,0,0,1,0,0,0,0.14285714285714285
TENALI JN.,3,2,0,4,0,1,1,1.5714285714285714
TEZNARAYANPUR,0,0,0,1,0,2,1,0.5714285714285714
THAKURNAGAR,0,1,0,0,0,0,0,0.14285714285714285
THANE,28,24,26,24,29,25,30,26.571428571428573
THANJAVUR JN.,3,0,1,1,2,0,2,1.2857142857142858
THAWE JN.,0,1,0,1,1,2,2,1.0
THIRUVARUR JN.,0,0,1,0,1,0,0,0.2857142857142857
TIKUNIA,0,0,1,0,0,0,0,0.14285714285714285
TILAIYA,0,0,0,1,0,0,0,0.14285714285714285
TILAK BRIDGE,0,0,0,0,0,2,2,0.5714285714285714
TILRATH,0,0,0,1,1,0,0,0.2857142857142857
TINPAHAR JN.,1,0,1,1,2,1,2,1.1428571428571428
TINSUKIA JN.,1,2,2,0,0,0,0,0.7142857142857143
TIRODI,0,1,2,0,0,0,1,0.5714285714285714
TIRUCHENDUR,1,1,0,1,2,1,1,1.0
TIRUCHIRAPPALLI JN.,3,6,5,2,2,5,7,4.285714285714286
TIRUMALPUR,1,4,1,3,0,0,3,1.7142857142857142
TIRUNELVELI JN,3,2,3,1,2,6,2,2.7142857142857144
TIRUNINRAVUR,1,0,0,0,0,0,0,0.14285714285714285
TIRUPATI,8,10,9,7,10,6,4,7.714285714285714
TIRUTTANI,1,3,1,1,1,3,5,2.142857142857143
TIRUVALLUR,6,6,8,7,8,2,8,6.428571428571429
